(in millions of €),"Sept 30,2021 2020","Sept 30,2021 2020",
(in millions of €),"Sept 30,2021 2020","Sept 30,2021 2020",2021
Deferred taxes on temporary differences,"-1,897",-243,
Thereof:,,,
Current assets and liabilities,178,206,
Intangible assets,"-2,329",-757,
Provisions for pensions and similar obligations,271,300,
Other non-current assets and liabilities,-17,8,
Deferred taxes on tax loss carryforwards,244,156,
Deferred taxes on tax credits,52,36,
"Total deferred tax assetsand liabilities,net","-1,601 -51","-1,601 -51",
