(in millions of e),Note,"Sept 30,2021","Sept 30,2020"
Cash and cash equivalents,25,"1,322",656
Trade and other receivables,"7,25",3.740,"2,568"
Other current financial assets,"8,25",169,142
Current receivables from the Siemens Group,"16,25,31",711,"3,392"
Contract assets,9,"1,159",818
Inventories,10,,"2,304"
Current income tax assets,5,3,49
Other current assets Total current assets,11,"489 10,824","338 10,268"
Goodwill,12,"17,512","9,038"
Other intangible assets,13,8，211,"1,912"
"Property, plant and equipment",13,3.712,2.774
Investments accounted for using the equity method,,33,37
Other financial assets,"14,25",928,352
Deferred tax assets,5,481,419
Other assets,15,460,295
Total non-current assets,,31338,"14,827"
Total assets,,"42,162","25,094"
Short-term financial debt and current maturities of long-term financial debt,"16,25",225,167
Trade payables,25,"1,921","1,356"
Other current financial liabilities,25,263,93
Current liabilities to the Siemens Group,"16,25,31",1.932,"2,046"
Contract liabilities,18,2.883,"1,784"
Current provisions,19,356,270
Current income tax liabilities,5,468,374
Other current liabilities,20,2.016,1198
Total current liabilities,,"10,065","7,289"
Long-term financial debt,,,
Provisions for pensions and similar obligations,"16,25",457,314
Deferred tax liablities,21,908,"1,029"
,5,"2,082",470
Provisions,19,150,144
Other financial liabilities,25,19,10
Other liabilities,22,435,345
Liabilities to the Siemens Group,"16,25,31","11,708","2,982"
Total non-current liabilities,,"15,758","5,294"
Total liabilities,,"25,823","12,584"
Issued capital,,,
Capital reserve,,"1,128","1,075"
Retained earnings,,"15,818","13,476"
,,-300,"-1,276"
Other components of equity,,-85,-741
Treasury shares,,-240,-36
Total equity attributable to shareholders of Siemens Healthineers AG,23,"16,321","12,498"
Non-controlling interests,,18,13
Total equity,,"16,339","12,511"
Total liabilitiesand equity,,"42,162","25,094"
