"(in millions of €, earnings per share in €)",Note,2021,2020
Revenue,"29, 30",17997,14460
Cost of sales,,-11045,-8880
Gross profit,,6952,5580
Research and development expenses,,-1546,-1342
Selling and general administrative expenses,,-2817,-2279
Other operating income,4,19,47
Other operating expenses,,-40,-28
"Income from investments accounted for using the equity method, net",5,5,3
Earnings before interest and taxes,,2573,1982
Interest income,5,33,53
Interest expenses,"16, 21, 25",-83,-76
"Other financial income, net","16, 25",-120,-5
Income before income taxes,,2404,1954
Income tax expenses,5,-658,-532
Net income,,1746,1423
Thereof attributable to:,,,
Non-controlling interests,,18,12
Shareholders of Siemens Healthineers AG,,1727,1411
Basic earnings per share,6,1.57,1.41
Diluted earnings per share,6,1.57,1.40
