(in millions of €),Fiscal Year,Fiscal Year
(in millions of €),2021,20201
Adjusted EBIT,"3,142","2,248"
"Amortization,depreciation and other effectsfrom IFRS 3 purchase price allocationadjustments",-381,-168
"Transaction,integration,retention andcarve-out costs",-123,-34
Gains and losses from divestments,3,1
Severance charges,-68,-65
Total adjustments,-569,-267
EBIT,"2,573","1,982"
"Financial income,net",-169,-27
Income before income taxes,"2,404","1,954"
Income tax expenses,-658,-532
Net income,"1,746","1,423"
