"Sept 30, 2021",Equity interest in %
"Siemens Healthcare Limited, Frimley, Surrey/United Kingdom",100
"Siemens Healthcare Limited, Riyadh/Saudi Arabia",51
"Siemens Healthcare Logistics LLC, Cairo/Egypt",100
"Siemens HealthCare Ltd., Rosh HaAyin/Israel",100
"Siemens Healthcare Medical Solutions Limited, Swords, County Dublin/Ireland",100
"Siemens Healthcare NV, Beersel/Belgium",100
"Siemens Healthcare Oy, Espoo/Finland",100
"Siemens Healthcare Proprietary Limited, Halfway House/South Africa",90
"Siemens Healthcare S.A.E., Cairo/Egypt",100
"Siemens Healthcare S.R.L., Bucharest/Romania",100
"Siemens Healthcare S.r.l., Milan/Italy",100
"Siemens Healthcare s.r.o., Bratislava/Slovakia",100
"Siemens Healthcare Saglik Anonim Sirketi, Istanbul/Turkey",100
"Siemens Healthcare SARL, Casablanca/Morocco",100
"Siemens Healthcare SAS, Saint-Denis/France",100
"Siemens Healthcare Sp. z o.o., Warsaw/Poland",100
"SIEMENS HEALTHCARE, S.L.U., Getafe/Spain",100
"Siemens Healthcare, s.r.o., Prague/Czech Republic",100
"SIEMENS HEALTHCARE, UNIPESSOAL, LDA, Amadora/Portugal",100
"Siemens Healthineers Holding III B.V., The Hague/Netherlands",100
"Siemens Healthineers Holding IV B.V., The Hague/Netherlands",100
"Siemens Healthineers Nederland B.V., The Hague/Netherlands",100
"Siemens Medicina d.o.o., Sarajevo/Bosnia and Herzegovina",100
"Steiermärkische Medizinarchiv GesmbH, Graz/Austria",52
"V.O.S.S. Varinak Onkoloji Sistemleri Satis Ve Servis Anonim Sirketi, Istanbul/Turkey",100
"Varian Medical Systems (RUS) Limited Liability Company, Moscow/Russian Federation",0
"Varian Medical Systems Africa (Pty) Ltd., Midrand/South Africa",100
"Varian Medical Systems Algeria Spa., Hydra/Algeria",49
"Varian Medical Systems Arabia Commercial Limited, Riyadh/Saudi Arabia",75
"Varian Medical Systems Belgium NV, Machelen/Belgium",100
"Varian Medical Systems Finland OY, Helsinki/Finland",100
"Varian Medical Systems France SARL, Le Plessis-Robinson/France",100
