"Sept 30, 2021",Equity interest in %
"CTSI (Mauritius) Ltd., Ebene/Mauritius",100
"FAST TRACK DIAGNOSTICS LUXEMBOURG S.à r.l., Esch-sur-Alzette/Luxembourg",100
"FTD Europe Ltd, Sliema/Malta",100
"ITH icosever technology for healthcare GmbH, Innsbruck/Austria",69
"PETNET Solutions SAS, Lisses/France",100
"Siemens Healthcare (Private) Limited, Lahore/Pakistan",100
"Siemens Healthcare A/S, Ballerup/Denmark",100
"Siemens Healthcare AB, Solna/Sweden",100
"Siemens Healthcare AG, Zurich/Switzerland",100
"Siemens Healthcare AS, Oslo/Norway",100
"Siemens Healthcare d.o.o. Beograd, Belgrade/Serbia",100
"Siemens Healthcare d.o.o., Ljubljana/Slovenia",100
"Siemens Healthcare d.o.o., Zagreb/Croatia",100
"Siemens Healthcare Diagnostics GmbH, Vienna/Austria",100
"Siemens Healthcare Diagnostics Ltd, Frimley, Surrey/United Kingdom",100
"Siemens Healthcare Diagnostics Manufacturing Limited, Swords, County Dublin/Ireland",100
"Siemens Healthcare Diagnostics Manufacturing Ltd, Frimley, Surrey/United Kingdom",100
"Siemens Healthcare Diagnostics Products Ltd, Frimley, Surrey/United Kingdom",100
"Siemens Healthcare Employee Share Ownership Trust, Midrand/South Africa",0
"Siemens Healthcare EOOD, Sofia/Bulgaria",100
"Siemens Healthcare FZ LLC, Dubai/United Arab Emirates",100
"SIEMENS HEALTHCARE INDUSTRIAL AND COMMERCIAL SINGLE MEMBER SOCIETE ANONYME, Chalandri/Greece",100
"Siemens Healthcare Kft., Budapest/Hungary",100
"Siemens Healthcare L.L.C., Dubai/United Arab Emirates",49
"SIEMENS HEALTHCARE LIMITED LIABILITY COMPANY, Kiev/Ukraine",100
"Siemens Healthcare Limited Liability Company, Moscow/Russian Federation",100
"Siemens Healthcare Limited Liability Partnership, Almaty/Kazakhstan",100
