Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Non-cash changes,Balance atend of,,,
Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Balance at,Balance atend of,,Effects fromchanges,Balance at
Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,beginning,Balance atend of,Cash flows,,
Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 2021 activities1,fiscal year2021,financingactivities1,Acquisi- exchangeFair valuetions rates changes Other²,fiscal year2021,
Loans from banks,109,-19,42 2 -42,92,,,
Lease liabilities,458,-165,112 9 246,660,,,
Current and non-current liabilities to the Siemens Group fromfinancing activities3,"4,936","8,310",1 307 一 8,"13,562",,,
Total financial debt,"5,503","8,127",154 318 1 212,"14,315",,,
Market value of forwards for hedging of foreign currency liabilitiesfrom financing activities,,,一 一 -410 44,-498,,,
Market value of forwards for hedging of foreign currency liabilitiesfrom financing activities,-92,-40,一 一 -410 44,-498,,,
Current receivables from the Siemens Group fromfinancing activities,"-3,271","2,719",1 -42 1,-594,,,
Total liabilities from financing activities,"2,141","10,806",154 276 -410 256,"13,223",,,
