"(in millions of€,earnings per share in €)",,Fiscal year,Fiscal year
"(in millions of€,earnings per share in €)",Note,2021,2020
Revenue,"29,30","17,997","14,460"
Cost of sales,,"-11,045","-8,880"
Gross profit,,"6,952","5,580"
Research and development expenses,,"-1,546","-1,342"
Selling and general administrative expenses,,"-2,817","-2,279"
Other operating income,4,19,47
Other operating expenses,,-40,-28
"Income from investments accounted for using the equity method, net",,5,3
Earnings before interestand taxes,,"2,573","1,982"
Interest income,5,33,53
Interest expenses,"16,21, 25",-83,-76
"Other financial income, net","16,25",-120,-5
Income before income taxes,,"2,404","1,954"
Income tax expenses,5,-658,-532
Net income,,"1,746","1,423"
Thereof attributable to:,,,
Non-controlling interests,,18,12
Shareholders of Siemens Healthineers AG,,"1,727","1,411"
Basic earnings per share,6,1.57,1.41
Diluted earnings per share 6,Diluted earnings per share 6,1.57,1.40
