(in millions of €),"Sept 30,","Sept 30,"
(in millions of €),2021,2020
Cash and cash equivalents,"-1,322",-656
Current receivables from the Siemens Groupfrom financing activities,-594,"-3,271"
Current liabilities to the Siemens Group fromfinancing activities,"1,926","2,040"
Liabilities to the Siemens Group fromfinancing activities,"11,708","2,982"
Market value of forwards for hedging offoreign currency liabilities from financingactivities,-498,-92
Short-term financial debt and currentmaturities of long-term financial debt,225,167
Long-term financial debt,457,314
Net debt1,"11,901","1,484"
Provisions for pensions and similarobligations,908,"1,029"
Net debt (including pensions),"12,809","2,513"
