Function,Description,Region Availability,OBS 2.0,OBS 3.0
Storageclasses,"OBS offers the followingstorage classes: Standard,Infrequent Access,Archive,and Deep Archive (underlimited beta testing),tomeet different requirementsfor storage performanceand cost.",All(DeepArchivestorage isnow underlimitedbetatestingand is onlysupportedin the TR-Istanbulregion.),Supported(DeepArchivestorage iscurrentlynotavailablefor OBS2.0.),Supported
Bucketmanagement,"Buckets are containers thatstore objects in OBS. OBSprovides easy bucketmanagement. You canconveniently create, list,search for, view,and deletebuckets.",All,Supported,Supported
Objectmanagement,"Objects are thefundamental entities storedin OBS. You can perform the following operations onobjects: upload, download,listing, searching,resumable transfer, andmultipart uploads.",All,Supported,Supported
Permission management,"OBS uses IAM permissions,bucket policies,objectpolicies,and ACLs foraccess control. You can grant access to differentaccounts and users,andalso configure policies orACLs for buckets andobjects to control read andwrite permissions for them.",All,Supported,Supported
Server-sideencryption,"To enhance data security,OBS uses server-sideencryption to encrypt databefore storing it. Theencryption methods includeSSE-KMS, SSE-OBS,andSSE-C.","SeeFunctionOverview.NOTETo findout theregionsthatsupportSSE-KMSor SSE-OBS, see Server-SideEncryption.",Supported,Supported
WORM,You can use a write-once-read-many (WORM) modelto protect objects frombeing deleted or tamperedwith within a specifiedperiod.,SeeFunctionOverview.,Notsupported,Supported
Lifecyclemanagement,You can configure lifecycle rules to automaticallydelete objects or transitionobjects between storageclasses.,All,Supported,Supported
Staticwebsitehosting,"You can upload staticwebsite files to your OBSbucket, grant the read permission for these files toanonymous users,andconfigure static websitehosting for the bucket tohost them.",All,Supported,Supported
CORS,"Cross-origin resourcesharing (CORS) is abrowser-standardmechanism defined by theWorld Wide WebConsortium (W3C). Itallows a web client in oneorigin to interact withresources in another one.For general web pagerequests, website scriptsand contents in one origincannot interact with thosein another because of SameOrigin Policies (SOPs). OBS supports CORS rules forresources in it to beaccessed across origins.",All,Supported,Supported
URLvalidation,URL validation protectsyour data in OBS frombeing stolen using theReferer field in HTTPrequests. Suchauthorization is controlledusing whitelists andblacklists.,All,Supported,Supported
Bucket tags,"Tags are provided for you toidentify and classify OBSbuckets. If you add tags toa bucket, charging datarecords (CDRs) generatedfor it will be labeled withthese tags. You can classify CDRs by tag for costanalysis.",All,Supported,Supported
User-defineddomainnames,"You can bind a domainname to an OBS bucketand then use this domainname to access data in thebucket.For instance, if you need to migrate files from awebsite to OBS whilekeeping the websiteaddress unchanged, youcan bind the websitedomain name to an OBSbucket.",All,Notsupported,Supported
Cross-regionreplication,"You can create a cross-region replication rule toautomatically,asynchronously replicateobjects from a sourcebucket in one region to adestination bucket inanother region,as long asboth buckets are underyour account. This enablescross-region data disasterrecovery, catering to your needs for remote backup.",All,Notsupported,Supported
Imageprocessing,"You can this function toquickly process imagesstored in OBS, includingcompression,cropping,resizing,watermarking, andformat conversion.",SeeFunctionOverview.,Not supported,Supported
BucketinventorieS,"Bucket inventories help youmanage objects. You canconfigure a bucketinventory rule for OBS toperiodically scan thespecified objects, list theobjects with their properties(such as metadata, size,modification time, and storage class) in CSV files,and store the files into thespecified bucket.",SeeFunctionOverview.,Not supported,Supported
Parallelfile systems,"Parallel File System (PFS) isa high-performance file system with access latencyin milliseconds. It supportsTB/s-level bandwidth andmillions of IOPS, which isideal for processing high- performance computing(HPC) workloads. You cancall standard OBS APls toread data in a parallel filesystem,or use obsfs,anOBS tool, to mount aparallel file system to aLinux server in the cloud.Migrating files anddirectories in a parallel file system is just like operatinga local file system.",SeeFunctionOverview.,Not supported,Supported
Logging,"With logging, you canobtain the bucket accessdata. After logging isenabled for a bucket, OBSautomatically logs everyaccess request for thebucket, packs multiple logrecords into a log file, and saves the log file to thespecified bucket. Using thestored logs,you can analyzeor audit logs.",All,Supported,Supported
Versioning,"When versioning is enabledfor a bucket, OBS can keepmultiple versions of anobject in the bucket. Thatway you can quicklyretrieve and restore everyobject version as needed,orrecover data from bothaccidental actions andapplication failures.",All,Supported,Supported
Appendin g objects,"You can call theAppendObject APl to writeadditional data to anappendable object in aspecified bucket. Objectscreated by calling theAppendObject APl areappendable, while thosecreated by calling thePutObject APl are normalones.",SeeFunctionOverview.,Not supported,Supported
Customizingmetadata,"You can add, modify, ordelete metadata ofuploaded objects.",All,Supported,Supported
Bucket storagequota,"You can set the bucketspace quota to limit themaximum amount of datathat can be stored in abucket. The maximumvalue is 263-1, in bytes. Bydefault, the quota of a newly created bucket is notlimited.",All,Supported,Supported
Directreading,"With direct readingenabled,you can downloadobjects in the Archivestorage class withoutrestoring them in advance.Direct reading is a billablefunction.",SeeFunctionOverview.,Notsupported,Supported
Object sharing,You can share a file orfolder stored in OBS withall users by using atemporary URL. All sharedURLs are valid for only thespecified period of time.,SeeFunctionOverview.,Supported,Supported
Fragment management,You can clear fragments that are generated duringmultipart uploads to savestorage space in a bucket.,All,Supported,Supported
Enterprise projects,"When you create a bucket,you can specify anenterprise project for it, tofacilitate bucket resourceand permissionmanagement.",SeeFunctionOverview.,Notsupported,Supported
Bucketencryption,You can enable defaultencryption for a bucketwhen creating it. Then allobjects uploaded to thisbucket later will beautomatically encrypted.,SeeFunctionOverview.,Notsupported,Supported
Multi-AZ storage,"When creating a bucket,you can choose multi-AZstorage to store your datain multiple AZs for a higherdata reliability. OBS usesthe Erasure Code (EC)algorithm, instead ofmultiple copies, to ensuredata redundancy.",SeeFunctionOverview.,Notsupported,Supported
