Release Date,What's New
2024-02-28,This issue is the twenty-sixth official release.This issue incorporates the following change:· Added the content related to Deep Archive storage (underlimited beta testing).
2023-12-28,This issue is the twenty-fifth official release.This issue incorporates the following change:• Added the permission dependency of OBS Console inPermissions Management.
2023-12-19,This issue is the twenty-fourth official release.This issue incorporates the following change:Updated the figure of the shared responsibility model inShared Responsibilities.
2023-09-12,This issue is the twenty-third official release.This issue incorporates the following change:· Put online decompression into commercial use.
2023-07-21,This issue is the twenty-second official release.This issue incorporates the following change:· Added AP-Jakarta in the regions that support monitoring inFunctions.
2023-07-14,This issue is the twenty-first official release.This isue incorporates the following change:· Added AP-Jakarta in the regions that support back to sourcein Functions.
2023-07-06,This issue is the twentieth official release.This issue incorporates the following change:· Added the descriptions about SSE-OBS.
2023-06-16,This issue is the nineteenth official release.This issue incorporates the following changes:· Updated the release regions of back to source in Functions.· Updated the release regions of multi-AZ storage in Functions.
2023-04-23,This issue is the eighteenth official release.This issue incorporates the following change:· Added descriptions about the WORM feature.
2023-01-19,This issue is the seventeenth official release.This issue incorporates the following change:· Removed the content related to event notifications.
2022-11-25,This issue is the sixteenth official release.This issue incorporates the following change:· Added descriptions about OBS security.
2020-10-13,"This issue is the fifteenth official release.This issue incorporates the following change:· Added section ""Restrictions."""
2020-03-31,"This issue is the fourteenth oficial release.This issue incorporates the following change:· Added the ""Billing"" section."
2020-01-20,"This issue is the thirteenth official release.This issue incorporates the following changes:· Updated the ""Permissions Management"" section."
2019-11-22,This issue is the twelfth official release.This issue incorporates the following change:· Added descriptions about the parallel file system.
2019-10-17,"This issue is the eleventh official release.This issue incorporates the following changes:· Added content to the following sections: ""About Object Storage Service"", ""Advantages"",and ""Application Scenarios"".· Added the section ""Functions Overview"".· Added the endpoint and domain name concepts to the section""Basic Concepts""."
2019-08-15,This issue is the tenth official release.This issue incorporates the following changes:· Added the concepts of region and AZ.
2019-05-22,This issue is the ninth official release.This issue incorporates the following changes:· Updated the description about permission control.
2019-02-22,This issue is the eighth official release.This issue incorporates the following changes:· Updated the description about user permissions.
2018-11-30,"This issue is the seventh official release.This issue incorporates the following changes:· Updated the section ""Related Services"".· Updated the section ""Documentation Guide""."
2018-10-31,This issue is the sixth official release.This issue incorporates the following changes:• Updated the description about user permissions.· Added the description about methods to access OBS.· Updated the application scenarios of OBS.
2018-08-13,This issue is the fifth official release.This issue incorporates the following changes:· Added the tag function.· Added the cloud trace function.
2018-06-08,"This issue is the fourth official release.This issue incorporates the following changes:· Added the session of ""Cloud Eye Monitoring Metrics""."
2018-03-20,This issue is the third official release.This issue incorporates the following changes:• Added object storage classes.· Added the functions of changing bucket and object storageclasses.
2018-01-19,"This issue is the second official release. This issue incorporates the following changes: · Added the section ""Accessing OBS with Domain Names"". Added the section ""Time Difference Is Longer Than 15 Minutes Between the Client and the Server"". Added error codes."
2017-12-31,user ID. Updated the description about the ACL. This issue is the first official release.
