Unif.,1% (142),5% (710),10% (1420),20% (2841),30% (4261),40% (5682)
Consistency ✓,78.0±1.2,90.0±0.1,91.4±1.1,93.4±0.2,93.2±0.2,94.6±0.2
Consistency ×,-,-,67.1±17.1,88.6±0.3,90.4±0.6,90.7±0.2
VAAL ✓,80.9±1.0,90.3±0.5,92.6±0.2,93.7±0.4,93.9±0.8,94.5±0.2
VAAL ×,-,-,-,-,-,77.3±1.6
Margin ✓,81.2±1.8,88.7±0.7,91.7±0.9,93.2±0.2,94.5±0.1,94.7±0.4
Margin ×,-,-,81.9±0.8,86.3±0.3,87.4±0.2,88.1±0.1
Entropy ✓,78.1±1.4,89.6±0.5,92.0±1.2,91.9±1.3,94.0±0.6,94.0±0.7
Entropy ×,-,79.0±1.2,65.6±15.6,86.4±0.2,88.5±0.2,89.5±0.7
Coreset ✓,80.8±1.0,89.7±1.3,91.5±0.4,93.6±0.2,93.4±0.7,94.8±0.1
Coreset ×,-,-,65.9±15.9,86.9±0.1,88.2±0.1,90.3±0.2
BALD ✓,83.3±0.6,90.8±0.3,92.8±0.1,90.8±2.4,94.0±0.8,94.7±0.4
BALD ×,-,76.8±2.3,64.9±14.9,84.7±0.6,88.0±0.5,88.9±0.1
