"Unif.,PathMNIST",0.5% (499),1% (899),OrganAMNIST,0.5% (172),1% (345),BloodMNIST,0.5% (59),1% (119),CIFAR-10-LT,10% (1420),CIFAR-10-LT,20% (2841)
Random,Random split Accuracy,Random split SANITY,Consistency Accuracy,Consistency SANITY,VAAL Accuracy,VAAL SANITY,Margin Accuracy,"Margin SANITY,Entropy Accuracy,Entropy SANITY,Coreset Accuracy,Coreset SANITY,BALD Accuracy,BALD SANITY",,,,
True,96.8±0.6,97.6±0.6,91.1±0.9,93.3±0.4,94.7±0.7,96.5±0.4,91.6±1.1,"93.1±0.6,96.4±1.3,97.6±0.9,90.7±1.1,93.1±0.7,93.2±1.5,95.8±0.7,62.0±6.1,-",,,,
False,96.4±1.3,97.6±0.9,90.7±1.1,93.1±0.7,93.2±1.5,95.8±0.7,62.0±6.1,"-,96.2±0.0,97.6±0.0,91.0±0.3,94.0±0.6,87.9±0.2,95.5±0.5,67.1±17.1,88.6±0.3",,,,
True,96.4±0.1,97.9±0.1,92.3±0.5,92.8±1.0,92.9±0.9,95.9±0.5,91.4±1.1,"93.4±0.2,96.2±0.0,97.6±0.0,91.0±0.3,94.0±0.6,87.9±0.2,95.5±0.5,67.1±17.1,88.6±0.3",,,,
False,92.7±0.5,93.0±0.6,70.6±1.9,84.6±0.5,89.8±1.3,93.4±0. 9,92.6±0.2,"93.7±0.4,-,-,-,-,-,-,-,-",,,,
True,,97.9±0.2,96.0±0.4,81.8±1.2,85.8±1.4,89.7±1.9,94.7±0.7,"91.7±0.9,93.2±0.2,91.0±2.3,96.0±0.3,-,85.9±0.7,-,-,81.9±0.8,",,,,
False,,93.2±1.6,95.2±0.2,79.1±2.3,,,,= 86.3±0.3,,,,
True,,95.0±2.2,94.8±2.5,85.6±0.4,,88.5±0.6,,"65.6±15.6,86.4±0.2",,,,
True,,95.6±0.7,97.5±0.2,83.8±0.6,89.9±0.5 88.5±0.4,87.3±1.6,94.1±1.1 94.0±1.2,"91.5±0.4,93.6±0.2",,,,
True,,95.8±0.2,97.0±0.1,87.2±0.3,89.2±0.3,89.9±0.8,92.7±0.7,"65.9±15.9 92.8±0.1,86.9±0.1 90.8±2.4",,,,
False,,92.0±2.3,95.3±1.0,1,=,83.3±2.2,93.5±1.3,64.9±14.9,84.7±0.6,,,
