,,PathMNIST,PathMNIST,OrganAMNIST,OrganAMNIST,BloodMNIST,BloodMNIST,CIFAR-10-LT,CIFAR-10-LT
,,0.5% (499),1% (899),0.5% (172),1% (345),0.5% (59),1% (119),10% (1420),20% (2841)
Random,Unif. √,96.8±0.6,97.6±0.6,91.1±0.9,93.3±0.4,94.7±0.7,96.5±0.4,91.6±1.1,93.1±0.6
Random,X,96.4±1.3,97.6±0.9,90.7±1.1,93.1±0.7,93.2±1.5,95.8±0.7,62.0±6.1,
Consistency,√,96.4±0.1,97.9±0.1,92.3±0.5,92.8±1.0,92.9±0.9,95.9±0.5,91.4±1.1,93.4±0.2
Consistency,X,96.2±0.0,97.6±0.0,91.0±0.3,94.0±0.6,87.9±0.2,95.5±0.5,67.1±17.1,88.6±0.3
VAAL,√,92.7±0.5,93.0±0.6,70.6±1.9,84.6±0.5,89.8±1.3,93.4±0. 9,92.6±0.2,93.7±0.4
VAAL,×,,,,,,,,
Margin,,97.9±0.2,96.0±0.4,81.8±1.2,= 85.8±1.4,89.7±1.9,94.7±0.7,91.7±0.9,93.2±0.2
Margin,×,91.0±2.3,96.0±0.3,,85.9±0.7,,,81.9±0.8,
Entropy,√,93.2±1.6,95.2±0.2,79.1±2.3,,,,,86.3±0.3
Entropy,×,=,87.5±0.1,,86.7±0.8,85.9±0.5,91.8±1.0,92.0±1.2,91.9±1.3
Coreset,,95.0±2.2,94.8±2.5,85.6±0.4,,88.5±0.6,,65.6±15.6,86.4±0.2
Coreset,√ X,95.6±0.7,97.5±0.2,83.8±0.6,89.9±0.5 88.5±0.4,87.3±1.6,94.1±1.1 94.0±1.2,91.5±0.4,93.6±0.2
BALD,√,95.8±0.2,97.0±0.1,87.2±0.3,89.2±0.3,89.9±0.8,92.7±0.7,65.9±15.9 92.8±0.1,86.9±0.1 90.8±2.4
BALD,×,92.0±2.3,95.3±1.0,1,=,83.3±2.2,93.5±1.3,64.9±14.9,84.7±0.6
