Advanced businessmanagement activities,Advanced businessmanagement activities
Holder of adoctor's degree or amaster's degree(See Note7),20
Holderofa bachelor'sdegree oracquisition of an educationequivalent thereto (excludingholders of adoctor'sdegree ormaster's degree),10
"Holder of doctor'sdegrees,master'sdegrees orprofessionaldegrees inmultiple areas",5
10years or more,25
7 years or more,20
5years or more,15
3 ycars or more,1
30 million yenor more,50
25 millionyen or more,40
20 million yen or more,30
15 million yen or more,20
10 million yen or more,10
Representative director orrepresentative executiveoffcer,10
Director or executiveofficer,5
Work for an organization which receivesfinancial support measures (measuresprovidedforseparately inapublicnotice)for thepromotionofinmovation(SeeNote3).,10
Employed by asmall or medium-sizedenterprise whose experiment andresearch expenses aduptomore than3% ofthe totalrevenme.,5
"Holder of a forcignqualification,etc.elatedtoework",5
Acquisition of a degreefroma Japanese institutionofhigher education,10
"Acquisition of LevelN1oftheJapaneseLanguageProficiencTest (SeeNote 4),or a person whograduatedfromaforeignuniversityhaving majored inJapaneselanguage.",15
Acquisition ofLevelN2oftheJapaneseLanguageProficiency Test (See Note 5)(excluding points acquiredthrough Bonus Points 7or 8),10
Work onanadvanced projcct ina growth field(limited to theproject recognized by theMinister of Justice),10
GraduationfromauniversityseparatelygpecifiedbytheMinisterofJustice inapublic notice,10
Completion ofthe trainingseparatelyspecifiedbytheMinisterof Justice ina public notice (SeeNote 6),5
Investmentof 100millionyenormore inthe business the personmanages,5
Required score,70
