Investment Amount (NZ$M),Points,Investment Amount (NZ$M),Investment Amount (NZ$M),Points
$3,10,$6.5,$6.5,80
$3.25,15,$6.75,$6.75,85
$3.5,20,$7,$7,90
$3.75,25,$7.25,$7.25,95
$4,30,$7.5,$7.5,100
$4.25,35,$7.75,$7.75,105
$4.5,40,$8,$8,110
$4.75,45,$8.25,$8.25,115
$5,50,$8.5,$8.5,120
$5.25,55,$8.75,$8.75,125
$5.5,60,$9,$9,130
$5.75,65,$9.25,$9.25,135
$6,70,$9.5,$9.5,140
Investment in Growth Investments,Investment in Growth Investments,Investment in Growth Investments,Bonus points,Bonus points
"Investment of NZ$750,000 or more in growth investments","Investment of NZ$750,000 or more in growth investments","Investment of NZ$750,000 or more in growth investments",20,20
