,Advanced academicresearch actitivies,Advanced academicresearch actitivies
AcademicBackground,Holder ofa doctor's degree(excludingprofessoaleees),30
AcademicBackground,Holder of amaster's degree(includingprofessionaldeees),20
AcademicBackground,Holderofabachelor'sdegree oracquisition of aneducationequivalent thereto (excludingholdersofadoctor'sdegreeormaster's degree),10
AcademicBackground,"Holderof doctor'sdegrees,master'sdegrees orprofessionaldegrees inmultiple areas",5
ProfessionalCareer(PracticalExperience)(See Note 1),,
ProfessionalCareer(PracticalExperience)(See Note 1),7years or more,15
ProfessionalCareer(PracticalExperience)(See Note 1),5years or more,10
ProfessionalCareer(PracticalExperience)(See Note 1),3 years or more,5
Annual Salary(See Note 2),"The lower limit of the annualsalary to which points areawardedillontheage group.Forfurtherdetails,refer to②.",4010
Age,Up to 29 years of age,15
Age,Between30and34 yearsof age,10
Age,Between35and 39years of age,5
Bonus Point1(ResearchAchievements),"Forfurtherdetails,refer to③.",25S20
BonusPoint 2(Position),,
Bonus Point3,,
BonusPoint4,Work foranorganization whichreceivesfinancial supportmeasures (measuresprovidedforseparatelyinapublicnotice)for thepromotionofinnovation(SeeNote3).,10
Bonus Point 5,Employed bya small ormedium-sizedenterprise whoseexperimentandresearch expensesadd up to more than3%ofthe totalrevenne.,5
BonusPoint6,"Holder of a forcignqualification,etc.reatedtothework",5
BonusPoint7,Acquisition of a degreefroma Japanese institution ofhigher education,10
Bonus Point 8,"Acquisition of LevelN1oftheJapaeseLangageProfcencyTest (See Note 4), or a person whograduatedfromaforeignuniversityhavingmajoredinJapaneselanguage.",15
BonusPoint 9,Acquisition ofLevelN2 of the Japanese LanguageProficiency Test (See Note5)(excluding pointsacquiredthrough Bonus Points 7or 8),10
Bonus Point 10,Work on anadvanced project ina growth field(limited to theproject recognized by theMinister of Justice),10
Bonus Point 11,GraduationfromauiversityseparatelygpecifiedbytheMinisterofJusticeinapublic notice,10
Bonus Point 12,Completion of the trainingseparatelyspecifiedbytheMinisterofJusticeiapublicnoticeSeeNote 6),5
BonusPoint 13,,
,Required score,70
