Item,Qualification,Number of points
,The spouse or de facto partner of the applicant (the primary applicant): 10 (a) is an applicant for the same subclass of visa as the primary applicant; and,
,(b) is not an Australian permanent resident or an Australian citizen; and (c) was under 45 at the time the invitation to apply for the visa was issued to,
,"the primary applicant; and (d) at the time of invitation to apply for the visa, nominated a skilled",
,"occupation, being an occupation specified by the Minister under paragraph 1.15I(1)(a) at that time; and (e) at the time of invitation to apply for the visa,had been assessed by the",
,relevant assessing authority for the nominated skilled occupation as having suitable skills for the occupation and the assessment was not for a Subclass 485 (Temporary Graduate) visa; and,
6D112,"(f) at the time of invitation to apply for the visa,had competent English",10
6D112,Either: (a) the applicant does not have a spouse or de facto partner; or,10
6D113,permanent resident or an Australian citizen The spouse or de facto partner of the applicant (the primary applicant): (a) is an applicant for the same subclass of visa as the primary applicant;,5
,(b) is not an Australian permanent resident or an Australian citizen; and,
,"(c) at the time of invitation to apply for the visa, had competent English",
