Factors,,Points
Age (20 to 55 years),20-39,30
Age (20 to 55 years),40-44,20
Age (20 to 55 years),45-49,10
Age (20 to 55 years),50-55,5
Skilled employment,,50
Bonus points for skilled employment,Current skilled employment in New Zealand or an offer of skilled employment in New Zealand in an area of absolute skills shortage,10
Bonus points for skilled employment,Current skilled employment or an offer of skilled employment outside the Aucklandregion,30
Bonus points for skilled employment,"Current skilled employment or an offer of skilled employment with remuneration of least $50.00 per hour, or the equivalent annual salary",20
Skilled work experience,,10
Skilled work experience,,20
Skilled work experience,,30
Skilled work experience,,40
Skilled work experience,,50
Additional bonus points if skilled work experience is in New Zealand,1 year or more,10
