Points for business experience (can be awarded in only one category),,,,
Relevant self-employment,,,,
Other self-employment,10 years +,5 years +,3 years +,
,20,15,5,
Relevant senior management experience,10 years +,5 years +,,
,10,5,,
Points for benefit to New Zealand (can be awarded in up to two categories),,,,
New full time employment creation,,,,
10+ new full time positions for New Zealand citizens or residents,,,,80
5 or more new full time positions for New Zealand citizens or residents,,,,50
3 or more new full time positions for New Zealand citizens or residents,,,,30
2 new full time positions for New Zealand citizens or residents,,,,20
1 new full time position for a New Zealand citizen or resident.,,,,10
