Age,Points,Business Experience years,Points,Test,Required Score,Points
60 - 65,0,3,9,,,
50 - 59,5,4,12,,,
40 - 49,10,5,15,,,
30 - 39,15,6,18,,,
Less than 30,20,7,21,,,
,,8,24,,,
,,9,27,,,
,,10,30,,,
,,11,33,,,
,,12,36,,,
,,13,39,,,
,,14,42,,,
,,15+,45,International English Language Testing System (IELTS) - General or Academic Module,Overall score of 3.0 or more but less than 4.0,1
,,,,IELTS - General or Academic Module,Overall score of 4.0 or more but less than 5.0,4
,,,,TOEFL iBT,Overall score of 31 to 34,4
,,,,PTE Academic,Overall score of 29 to 35,4
,,,,B2 First (First Certificate in English) (formerly Cambridge English: First(FCE)) or B2 First for Schools (First Certificate in English)(formerly Cambridge English: First (FCE) for Schools),Overall score of 142 to 153,4
,,,,OET,"Grade D or higher in all four skills (Listening, Reading, Writing and Speaking)*",4
,,,,IELTS - General or Academic Module,Overall score of 5.0 or more,10
,,,,TOEFL iBT,Overall score of 35 or more,10
,,,,PTE Academic,Overall score of 36 or more,10
,,,,B2 First (First Certificate in English) (formerly Cambridge English: First(FCE)) or B2 First for Schools (First Certificate in English)(formerly Cambridge English: First (FCE) for Schools),Overall score of 154 or more,10
,,,,OET,"Grade Cor higher in all four skills (Listening, Reading, Writing and Speaking)*",10
,,,,IELTS - General or Academic Module,Overall score of 6.0 or more,13
,,,,TOEFL iBT,Overall score of 60 or more,13
,,,,PTE Academic,Overall score of 50 or more,13
,,,,B2 First (First Certificate in English) (formerly Cambridge English: First(FCE)) or B2 First for Schools (First Certificate in English)(formerly Cambridge English: First (FCE) for Schools),Overall score of 169 or more,13
,,,,IELTS - General or Academic Module,Overall score of 7.0 or more,17
,,,,TOEFL iBT,Overall score of 94 or more,17
,,,,PTE Academic,Overall score of 65 or more,17
,,,,B2 First (First Certificate in English) (formerly Cambridge English: First(FCE)) or B2 First for Schools (First Certificate in English)(formerly Cambridge English: First (FCE) for Schools),Overall score of 185 or more,17
,,,,OET,"Grade B or higher in all four skills (Listening, Reading, Writing and Speaking)*",17
,,,,IELTS - General or Academic Module,Overall score of 8.0 or more,20
