Factors,,Points
Age (20 to 55 years),20-39,30
Age (20 to 55 years),40-44,20
Age (20 to 55 years),45-49,10
Age (20 to 55 years),50-55,5
Skilled employment,Current skilled employment in New Zealand or an offer of skilled employment in New Zealand,50
Bonus points for skilled employment,Current skilled employment in New Zealand or an offer of skilled employment in New Zealand in an area of absolute skills shortage,10
Bonus points for skilled employment,Current skilled employment or an offer of skilled employment outside the Aucklandregion,30
Bonus points for skilled employment,"Current skilled employment or an offer of skilled employment with remuneration of least $50.00 per hour, or the equivalent annual salary",20
Skilled workexperience,2 years,10
Skilled workexperience,4 years,20
Skilled workexperience,6 years,30
Skilled workexperience,8 years,40
Skilled workexperience,10 years,50
Additional bonus points if skilled workexperience is in New Zealand,1 year or more,10
Additional bonuspoints for skilledwork experience in an area of absolute skills shortage,2 to 5 years,10
Additional bonuspoints for skilledwork experience in an area of absolute skills shortage,6 years or more,15
Qualifications,Recognised level 3 qualification if included onthe List of Qualifications Exempt fromAssessment (LQEA),40
,"Recognised level 4-6 qualification (e.g. tradequalification, diploma)",40
,"Recognised level 7 or 8 qualification (e.g.bachelor's degree, bachelor's degree withHonours)",50
,"Recognised level 9 or 10 post-graduatequalification (Master's degree, Doctorate)",70
Bonus points forqualifications gained in New Zealand,2 years of full-time study in New Zealandcompleting a recognised bachelor degree (level7) New Zealand qualification; or,10
Bonus points forqualifications gained in New Zealand,1 year of full-time study in New Zealand completing a recognised post-graduate NewZealand qualification; or,10
Bonus points forqualifications gained in New Zealand,2 years of full-time study in New Zealand completing a recognised post-graduate NewZealand qualification,15
Bonus points for partner's skilledemployment,Partner's current skilled employment inNew Zealand or offer of skilled employment inNew Zealand.,20
Bonus points for partner's qualification(either),Recognised qualification at level 7 or 8; or,10
Bonus points for partner's qualification(either),Recognised qualification at level 9 or above,20
