Points for business experience (can be awarded in only one category),
Relevant self-employment,
10 years +,40
5 years +,30
3years +,20
Other self-employment,
10 years +,20
5 years +,15
3 years +,5
Relevant senior management experience,
10 years +,10
5 years +,5
Points for benefit to New Zealand (can be awarded in up to two categories),
New full time employment creation,
10+ new full time positions for New Zealand citizens orresidents,80
5 or more new full time positions for New Zealandcitizens or residents,50
3 or more new full time positions for New Zealandcitizens or residents,30
2 new full time positions for New Zealand citizens orresidents,20
1 new fulltime position for a New Zealand citizen orresident.,10
Points for approved export businesses (based on annualturnover),
"$1,000,000 + turnover a year",80
"$750,000 + turnover a year",60
"$500,000 + turnover a year",40
"$400,000 + turnover a year",30
"$300,000 + turnover a year",20
"$200,000 + turnover a year",10
Points for unique or new products or services to New Zealand,
"A credible business proposal that provides unique or new products/ services to New Zealand, or to a particular region.",30
Points for capital investment,
"$1,000,000 +",80
"$750,000 +",60
"$500,000+",50
"$400,000 +",30
"$300,000 +",20
"$200,000 +",10
"under $200,000",0
Points for age of prospective applicant (at date of lodging application),
24 and under,15
25-29,20
30-39,20
40-49,20
50-59,10
60 and over,0
Bonus points,
Business based outside Auckland as defined in BB6.1.35.,40
