Advanced specialized/technical activities,Advanced specialized/technical activities
Holder of a doctor's degree(excludingprofessional degrees),30
Holder of amaster's degree(including professionaldegrees)(SeeNote7),20
Holderofa bachelor's degree oracquisitionof an educationequivalent thereto (excludingholders ofadoctor’s degree ormaster'sdegree),10
"Holder of doctor's degrees,master'sdegrees orprofessionaldegrees in multiple areas",
10 years or more,20
7yearsormore,15
5 years or more,10
3 years or more,5
"The lower limit of the annualsalary to which points arcawarded,willferepedingon the age group.For furtherdetails,refer to ②.",4010
Up to 29 years of age,15
Between 30 and 34 years of age,10
Betwcen 35and39 years of age,5
"For further details,refer to③.",15
HolderofaJapanese nationalqualificationrelated to thework(5 points per qualification),10
Workforanorganizationwhichreceivefinancial support measures (neasuresprovidedforseparatelyinapublicnotice)for thepromotionofimmovation(SeeNote3).,10
Employed by a small or mediun-sizedenterprise whose experiment andresearchexpenses adduptomore than3% ofthe totalrevenue.,
"Holder of a forcignqualification,etc.relatedtothework",5
Acquisition of a degreefroma Japanese institutionofhigher education,10
"Acqnisition of LevelN1of the JapaneseLanguageProficiencyTest(See Note 4), or a person whograduatedfromaforeignuniversityhaving majored inJapaneselangnage",
Acquisition of LevelN2 of the Japanese LanguageProficiency Test (See Note 5)(excluding points acquiredthrough Bonus Points 7or 8),10
Work on an advanced projcct ina growth field(limited to theproject recognizedby theMinister of Justice),10
Graduation fromaniversity separatelyspecifiedbytheMnisterofJusticeinapublic notice,10
Completionof the trainingseparatelyspecifiedbytheMinisterof Justice ina public notice (SeeNote6),5
Required score,70
