Item,"At the time of invitation to apply for the visa, the applicant ...",Number of points
6D41,had been employed in Australia in:,5
(a) the applicant’s nominated skilled occupation; or,,
(b) a closely related skilled occupation;,,
for a period totalling at least 12 months in the 10 years immediately before that time,,
6D42,had been employed in Australia in:,10
(a) the applicant’s nominated skilled occupation; or,,
(b) a closely related skilled occupation;,,
for a period totalling at least 36 months in the 10 years immediately before that time,,
6D43,had been employed in Australia in:,15
(a) the applicant’s nominated skilled occupation; or,,
(b) a closely related skilled occupation;,,
for a period totalling at least 60 months in the 10 years immediately before that time,,
6D44,had been employed in Australia in:,20
(a) the applicant’s nominated skilled occupation; or,,
(b) a closely related skilled occupation;,,
for a period totalling at least 96 months in the 10 years immediately before that time,,
