Financial Statement Line,Dedicated Collections Combined,All Other Amounts (with Eliminations),Eliminations Between Dedicated and All Other,Total,Reclassified Financial Statement Line
Unexpended Appropriations,Beginning Balances,$ 83,"$ 46,834",$ —,"$ 46,917,Unexpended Appropriations, Beginning Balance"
Budgetary Financing Sources,Appropriations Received,300,"37,697",—,"37,997,Appropriations Received"
Budgetary Financing Sources,Other Adjustments,(655),25,—,"(47),Non-Expenditure Transfers-In of Unexpended Appropriations and Financing Sources"
Budgetary Financing Sources,Appropriations Transferred In(Out),22,(47),—,"(47),Non-Expenditure Transfer-Out of Unexpended Appropriations and Financing Sources"
Budgetary Financing Sources,Appropriations Used,(381),"(38,542)",—,"(38,923),Appropriations Used"
Budgetary Financing Sources,Total Unexpended Appropriations,2,"45,967",—,"45,969,Total Unexpended Appropriations"
Cumulative Results of Operations,Begining Balances,"$ 2,117","$ 27,662",$ —,"$ 29,779,Cumulative Results of Operations – Beginning Balance"
Cumulative Results of Operations,Budgetary Financing Sources,Appropriations Used,381,"38,542","—,38,923,Appropriations Expended"
Cumulative Results of Operations,Budgetary Financing Sources,Donations and Forfeitures of Cash and Cash Equivalents,14,—,"—,118,Other Taxes and Receipts (Non-Federal)"
Cumulative Results of Operations,Budgetary Financing Sources,Donations and Forfeitures of Property,104,104,"—,—,—"
Cumulative Results of Operations,Budgetary Financing Sources,Transfers In(Out) Without Reimbursement,219,(219),"219,—,Non-Expenditure Transfers-In of Unexpended Appropriations and Financing Sources"
Cumulative Results of Operations,Budgetary Financing Sources,Transfers Out Without Reimbursement,(9),—,"—,(50),Non-Expenditure Transfers-Out of Unexpended Appropriations and Financing Sources"
Cumulative Results of Operations,Budgetary Financing Sources,Imputed Financing,54,162,"(20),196,Imputed Financing Sources"
Cumulative Results of Operations,Budgetary Financing Sources,Non-Entity Collections,—,(502),"—,(502),Non-Entity Custodial Collections Transferred to the General Fund"
Cumulative Results of Operations,Budgetary Financing Sources,Net Cost of Operations,"(1,091)","(37,299)","20,(38,370),Net Cost of Operations"
Cumulative Results of Operations,Total Cumulative Results of Operations,"1,692","28,443",—,"30,135,Total Cumulative Results of Operations"
Net Position,"$ 1,694","$ 74,410",$ —,"$ 76,104",Total Net Position
