Source of Budgetary Resources,2021,2020
Budget Authority:,Direct or Related Appropriations,"$ 37.9,$ 33.0"
,Authority Financed from Trust Funds,"3.5,3.4"
Spending Authority from Providing Goods and Services,,
"Unobligated Balance from Prior Year Budget Authority, Net",29.9,32.7
Total Budgetary Resources,$ 80.1,$ 77.1
"Unobligated balance from prior year budget authority, net (dollars in billions)",2021,2020
Unobligated Balance – End of Prior Year,$ 27.9,$ 31.1
Transfers In/(Out) Prior Year Authority,,
Recoveries of Prior Year Paid Obligations,0.2,0.2
Recoveries of Prior Year Unpaid Obligations,2.0,1.6
Funds Returned to Treasury,(0.2),(0.1)
"Unobligated Balance from Prior Year Budget Authority, Net",$ 29.9,$ 32.7
