Description,Secretary of State's Register of Culturally Significant Property,National Museum of American Diplomacy,Blair House,International Boundary and Water Commission
Description,"Noncollection - Buildings of historic, cultural, or architectural significance","Collectibles - Historic artifacts, art and other cultural objects","Collections of fine and decorative arts, furnishings, artifacts, other cultural objects, rare books and archival materials in national historic landmark buildings","Monuments that mark the international boundary between the United States and Mexico, Falcon International Dam and Power Plant"
Acquisition and Withdrawal,Acquired through purchase. Excess items are sold.,Acquired through donation or transfer. Excess items are transferred.,"Acquired through purchase, donation or transfer. Excess items are transferred or disposed of via public sale.",The monuments were constructed to mark the international boundary. The dam and power plant were constructed by the United States and Mexico pursuant to Water Treaty of 1944.
Condition,Poor to excellent,Good to excellent,Good to excellent,Poor to good
Number of Assets - 9/30/2019,37,"6,074","2,604",140
Acquisitions,142,,,
Adjustments,,1,,
Disposals,1,,6,
Number of Assets - 9/30/2020,36,"6,216","2,599",140
Acquisitions,,687,,
Adjustments,2,109,,
Disposals,,,,
Number of Assets - 9/30/2021,38,"7,012","2,599",140
