DM&R,Deferred Maintenance and Repairs,GAAP,Generally Accepted Accounting Principles
DOL,U.S. Department of Labor,GAO,Government Accountability Office
DOS,U.S. Department of State,GCJ,Office of Global Criminal Justice (DOS)
DS,Bureau of Diplomatic Security (DOS),GFACS,Global Foreign Affairs Compensation System
EDS,Enterprise Data Strategy,GFMS,Global Financial Management System
EFT,Electronic Funds Transfer,GOR,Grants Officer Representative
EGB,Enterprise Governance Board,GPRA,Government Performance and Results Act
EGC,Office of Global Change (DOS),GSA,U.S. General Services Administration
ERM,Enterprise Risk Management,GTAS,Government-wide Treasury Account Symbol Adjusted Trial Balance System
ESF,Economic Support Fund,,
ESP,Evaluations and Special Projects (DOS),GTM,Bureau of Global Talent Management (DOS)
ETS2,E-Government Travel Services,HCM,Human Capital Management
EWC,East-West Center,HHS,U.S. Department of Health and Human Services
FADR,Foreign Assistance Data Review,HIV,Human Immunodeficiency Virus
FAM,Foreign Affairs Manual,HR,Human Resources
FAR,Federal Acquisition Regulation,HVA,High Value Asset
FARADS,Foreign Affairs Retirement and Disability System (DOS),IAA,Interagency Agreement
FASAB,Federal Accounting Standards Advisory Board,IBIS,Integrated Budget Intelligence System
FCI,Facility Condition Index,IBWC,International Boundary and Water Commission
FECA,Federal Employees Compensation Act,ICAO,International Civil Aviation Organization (UN)
FEGLIP,Federal Employees Group Life Insurance Program,ICASS,International Cooperative Administrative Support Services (DOS)
FEHBP,Federal Employees Health Benefits Program,INL,Bureau of International Narcotics and Law Enforcement (DOS)
FERS,Federal Employees Retirement System,IO,Bureau of International Organization Affairs (DOS)
FFMIA,Federal Financial Management Improvement Act of 1996,IO&P,International Organizations and Programs
FISMA,Federal Information Security Modernization Act of 2014,IPIA,Improper Payments Information Act of 2002
FMF,Foreign Military Financing,IPP,Invoice Processing Platform
FMFIA,Federal Managers' Financial Integrity Act of 1982,IRM,Bureau of Information Resource Management (DOS)
FMLP,Future Minimum Lease Payments,ISIS,Islamic State in Iraq and Syria
FR,Federal Register,,
FR,Financial Report of the U.S. Government,ISO,International Organization for Standardization
FS,Foreign Service,ISP,Inspection (DOS)
FSI,Foreign Service Institute (DOS),ISSO,Information Systems Security Officer
FSN,Foreign Service National,IT,Information Technology
FSN DCF,Foreign Service National Defined Contributions Fund,,
FSO,Foreign Service Officer,LE Staff,Locally Employed Staff
FSRDF,Foreign Service Retirement and Disability Fund,LSSS,Local Social Security System
FSRDS,Foreign Service Retirement and Disability System,M,Under Secretary for Management (DOS)
FSPS,Foreign Service Pension System,MAR,Management Assistance Report
FWCB,Federal Workers' Compensation Benefits,MCSC,Management Control Steering Committee (DOS)
FY,Fiscal Year,,
G7,Group of Seven,,
NATO,North Atlantic Treaty Organization,,
