Appropriation/Program (dollars in millions),2020 Unobligated Balances in 2021,Appropriations Bill (Public Law No. 116-260),2021,ARP (Public Law No. 117-2),Total New Budget Authority2,2021 Grand Total,2022 Continuing Resolution,2022 Total
2. Foreign Assistance,18,201.5,33,058.4,4,452.6,4,"700.0,10,596.0,52,807.0,41,199.1,1,791.1,42,990.2"
a. Economic & Development Assistance,6,975.5,8,222.5,4,000.0,700.0,"9,255.0,18,177.5,25,153.0,10,024.1,4,260.2,4,075.1,457.1,788.9,92.1,60.0,290.7,10,024.1"
i. Economic Support Fund,2,494.3,3,152.0,4,000.0,700.0,"8,675.0,12,527.0,15,021.3,4,260.2,4,075.1,457.1,788.9,92.1,60.0,290.7,4,260.2"
ii. Development Assistance,3,400.0,3,500.0,4,000.0,92.0,"580.0,3,500.0,6,900.0,4,075.1,457.1,788.9,92.1,60.0,290.7,4,075.1"
iii. International Organizations and Programs,387.5,4,000.0,580.0,967.5,967.5,457.1,457.1
iv. Assistance for Europe, Eurasia & Central Asia,768.1,770.3,4,000.0,770.3,1,"538.4,788.9,788.9"
v. Transition Initiatives,9.4,92.0,4,000.0,92.0,101.4,92.1,92.1
vi. Complex Crises Fund,30.0,30.0,4,000.0,30.0,60.0,60.0,60.0
vii. Democracy Fund,273.7,290.7,4,000.0,290.7,564.4,290.7,290.7
b. Health,6,301.0,9,196.0,4,000.0,13,"196.0,19,497.0,10,051.0,10,051.0"
i. Global Health Programs – State,3,566.1,5,930.0,4,000.0,5,"930.0,9,496.1,6,180.0,6,180.0"
ii. Global Health Programs – USAID,2,734.9,3,266.0,4,000.0,7,"266.0,10,000.9,3,871.0,3,871.0"
c. Security Assistance,2,759.6,8,101.9,902.1,9,004.0,"11,763.6,9,183.9,9,183.9"
i. Foreign Military Financing,511.9,5,598.6,576.9,6,175.5,6,"687.4,6,175.5,6,175.5"
ii. International Narcotics Control and Law Enforcement,1,283.0,1,385.6,1,385.6,1,"385.6,2,668.6,1,525.8,1,525.8"
iii. International Military Education and Training,11.0,112.9,112.9,112.9,123.9,112.9,112.9,
iv. Nonproliferation, Antiterrorism, and Demining,725.6,889.2,889.2,889.2,1,"614.8,900.2,900.2"
v. Peacekeeping Operations,228.1,115.6,325.2,440.8,668.9,469.5,469.5,
d. Humanitarian Assistance,1,926.4,5,952.0,3,615.5,1,"300.0,10,867.5,12,793.9,10,097.5,1,791.1,11,888.6"
i. Migration and Refugee Assistance,602.4,1,730.6,1,701.4,500.0,3,"932.0,4,534.4,3,845.0,415.0,4,260.0"
ii. Emergency Refugee and Migration Assistance,0.1,0.1,0.1,0.1,0.2,0.1,0.1,"976.1,976.2"
iii. International Disaster Assistance,1,225.2,2,481.3,1,914.1,4,"395.4,5,620.6,4,682.4,400.0,5,082.4"
iv. Food for Peace, Title II,98.7,1,740.0,800.0,2,540.0,"2,638.7,1,570.0,1,570.0"
e. USAID Administrative Expenses,239.0,1,711.4,41.0,1,752.4,1,"991.4,1,862.6,1,862.6"
i. USAID Operating Expense,204.1,1,377.7,41.0,1,418.7,1,"622.8,1,527.9,1,527.9"
ii. USAID Capital Investment Fund,25.6,258.2,258.2,283.8,258.2,258.2,258.2,
iii. USAID Inspector General,9.3,75.5,75.5,84.8,76.5,76.5,,
f. Foreign Assistance Rescission or Cancellation of Prior Year Balances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0"
