Major Classes,Cost,Accumulated Depreciation,Net Value,Cost,Accumulated Depreciation,Net Value
Real Property:,,,,,,
Overseas -,,,,,,
Land and Land Improvements,"$ 3,078",$(113),"$ 2,965","$ 2,933",$(107),"$ 2,826"
Buildings and Structures,"26,016","$(11,538)","14,478","25,387","$(10,639)","14,748"
Construction-in-Progress,"6,506",,"6,506","5,343",,"5,343"
Assets Under Capital Lease,147,$(57),90,144,$(52),92
Leasehold Improvements,669,$(427),242,684,$(405),279
Domestic -,,,,,,
"Structures, Facilities and Leaseholds","1,583",$(537),"1,046","1,502",$(500),"1,002"
Construction-in-Progress,138,,138,190,,190
Assets Under Capital Lease,330,$(67),263,330,$(50),280
Land and Land Improvements,425,$(28),397,380,$(18),362
Total – Real Property,"38,892","$(12,767)","26,125","36,893","$(11,771)","25,122"
Personal Property:,,,,,,
Aircraft,410,$(342),68,472,$(387),85
Vehicles,860,$(621),239,963,$(689),274
Communication Equipment,33,$(23),10,30,$(22),8
ADP Equipment,396,$(294),102,365,$(272),93
Reproduction Equipment,7,$(6),1,7,$(6),1
Security Equipment,237,$(155),82,285,$(178),107
Internal Use Software,549,$(387),162,396,$(339),57
Software-in-Development,364,,364,405,,405
Other Equipment,336,$(192),144,446,$(293),153
Total – Personal Property,"3,192","$(2,020)","1,172","3,369","$(2,186)","1,183"
"Total General Property and Equipment, Net","$ 42,084","$(14,787)","$ 27,297","$ 40,262","$(13,957)","$ 26,305"
