,Secretary of State'sRegister ofCulturally Significant Property,National Museumof AmericanDiplomacy,Blair House,International Boundary and Water Commission
Description,"Noncollection -Buildings ofhistoric, cultural,or architecturalsignificance","Collectibles -Historic artifats,art and othercultural objects","Colletions offine anddecorativearts,furnishings,artifacts,othercultural objects,rare books andarchival materials in nationalhistoric landmark buildings","Monuments that mark theinternational boundary betweenthe United States and Mexico,Falcon International Damand Power Plant"
Acquisition andWithdrawal,Acquired throughpurchase. Excessitems are sold.,Acquired throughdonation ortransfer. Excessitems aretransfered.,"Acquired through purchase,donation or transfer. Excessitems are transferred ordisposed of via public sale.",The monuments were constructedto mark the internationalboundary. The dam and powerplant were constructed bythe United States and Mexicopursuant to Water Treaty of 1944.
Condition,Poor to excellent,Good to excellent,Good to excellent,Poor to good
Number of Assets -9/30/2019,37,"6,074","2,604",140
Acquisitions,,142,,
Adjustments,,,1,
Disposals,1,,6,
Number of Assets -9/30/2020,36,"6,216",2.599,140
Acquisitions,,687,,
Adjustments,2,109,,
Disposals,,,,
Number of Assets -9/30/2021,38,"7,012","2,599",140
