DM&R,Deferred Maintenance and Repairs,GAAP,Generally Accepted Accounting Principles
DOL,U.S. Department of Labor,GAO,Government Accountability Office
DOS,U.S. Department of State,GCJ,Office of Global Criminal Justice (DOS)
DS,Bureau of Diplomatic Security (DOS),GFACS,Global Foreign Affairs Compensation System
EDS,Enterprise Data Strategy,GFMS,Global Financial Management System
EFT,Electronic Funds Transfer,GOR,Grants Officer Representative
EGB,Enterprise Governance Board,GPRA,Government Performance and Results Act
EGC,Office of Global Change (DOS),GSA,U.S. General Services Administration
ERM,Enterprise Risk Management,GTAS,Government-wide Treasury Account Symbol
ESF,Economic Support Fund,,Adjusted Trial Balance System
ESP,Evaluations and Special Projects (DOS),GTM,Bureau of Global Talent Management (DOS)
ETS2,E-Government Travel Services,HCM,Human Capital Management
EWC,East-West Center,HHS,U.S. Department of Health and Human Services
FADR,Foreign Assistance Data Review,HIV,Human Immunodeficiency Virus
FAM,Foreign Affairs Manual,HR,Human Resources
FAR,Federal Acquisition Regulation,HVA,High Value Asset
FARADS,Foreign Affairs Retirement and Disability System (DOS),IAA,Interagency Agreement
FARADS,Foreign Affairs Retirement and Disability System (DOS),IAS,International Accounting Standards
FASAB,Federal Accounting Standards Advisory Board,IBIS,Integrated Budget Intelligence System
FCI,Facility Condition Index,IBWC,International Boundary and Water Commission
FECA,Federal Employees Compensation Act,ICAO,International Civil Aviation Organization (UN)
FEGLIP,Federal Employees Group Life Insurance Program,ICASS,International Cooperative Administrative Support Services (DOS)
FEHBP FERS,Federal Employees Health Benefits Program Federal Employees Retirement System,INL,Bureau of International Narcotics and Law
FFMIA,Federal Financial Management Improvement,,Enforcement (DOS) Bureau of International Organization Affairs
FISMA,Act of 1996 Federal Information Security Modernization,I0,(DOS)
,Act of 2014,I0&P IPIA,International Organizations and Programs Improper Payments Information Act of 2002
FMF FMFIA,Foreign Military Financing,IPP,Invoice Processing Platform
FMLP,Federal Managers' Financial Integrity Act of 1982 Future Minimum Lease Payments,IRM,Bureau of Information Resource
FR,Federal Register,,Management (DOS)
,,ISIS,Islamic State in Iraq and Syria
FR,Financial Report of the U.S. Government,ISO,International Organization for Standardization
FS,Foreign Service,ISP,Inspection (DOS)
FSI,Foreign Service Institute (DOS),ISSO,Information Systems Security Officer
FSN,Foreign Service National Foreign Service National Defined,IT,Information Technology
FSN DCF,Contributions Fund,JSP,Joint Strategic Plan
FSN DCF,Foreign Service Officer,LE Staff,Locally Employed Staff
FSO FSRDF,Foreign Service Retirement and Disability Fund,LSSS,Local Social Security System
FSRDS,Foreign Service Retirement and Disability System,M,Under Secretary for Management (DOS)
FSPS,Foreign Service Pension System,MAR,Management Assistance Report
FWCB,Federal Workers’ Compensation Benefits,MCSC,Management Control Steering Committee (DOS)
,,MRA,Migration and Refugee Assistnce
FY G7,Fiscal Year Group of Seven,NATO,North Atlantic Treaty Organization
