"AsofSeptember30, (dollars in millions)",2021,2021,2021,2021,2021,2021,2021,2020,2020,2020
,19X6223,19X6225,19X6226,All Others Total,,19X6223,19X6225,19X6226,All OthersTotal,
"Fiduciary Net Assets, Beginning of Year",$1,$ 8,2,$,$10,$1,$73,3,$ 一,$76
Contributions,335,85,,,420,,15,,,15
Disbursements to and on,,,,,,,,,,
Behalf of Beneficiaries Increases/(Decreases) in,(199),(67),,,(266),,（80）,(1),,（81）
Fiduciary Net Assets,136,18,,,154,,(65),(1),,(66)
"Fiduciary Net Assets, End of Year",$136,$26,$2,$-,$164,$1,$ 8,$2,$1,$10
,,,,Fiduciary Net Assets,,,,,,
"As of September 30,",,,,,,,,,,
(dollars in millions),,,2021,,,,,2020,,
Fiduciary Assets Cash & Cash Equivalents,19X6223,19X6225,19X6226,,All Others Total,19X6223 19X6225,,19X6226,All Others,Total
Fund Balance,,,,,,,,,,
with Treasury,$136,$26,& 2,$-,$164,$-,多 8,$ 2,,$10
Total Fiduciary Net Assets,$136,$26,$2,$-,$164,$-,,,$-,$10
