,Administration of Foreign Affairs,International Organizations,International Commissions,Foreign Assistance,Other,Total
Budgetary Resources:,,,,,,
"Unobligated Balance from Prior Year Budget Authority, Net","$16,797",$ 869,$ 160,"$ 1,528","$10,536","$29,890"
Appropriations (Discretionary and Mandatory),"16,344","2,962",180,"2,257","19,702","41,445"
Borrowing Authority (Discretionary and Mandatory),2,一,一,1,,2
Spending Authority from Offsetting Collections (Discretionary and Mandatory),"8,660",1,11,50,29,"8,750"
Total Budgetary Resources,"$41,803","$3,831",$ 351,"$3,835","$30,267","$80,087"
Status of Budgetary Resources:,,,,,,
New Obligations and Upward Adjustments (Total),"$26,594","$3,706",$ 177,"$ 1,912","$18,267","$50,656"
"Unobligated Balance, End of Year:",,,,,,
"Apportioned, Unexpired Accounts","14,251",92,169,"1,813","11,566","27,891"
"Exempt from Apportionment, Unexpired Accounts",145,1,1,一,3,148
"Unapportioned,UnexpiredAccounts",200,6,1,1,160,367
"Unexpired Unobligated Balance, Endof Year","14,596",98,170,"1,813","11,729","28,406"
"Expired Unobligated Balance, End of Year",613,27,4,110,271,"1,025"
"Unobligated Balance, Endof Year (Total)","15,209",125,174,"1,923","12,000","29,431"
Total Budgetary Resources,"$41,803","$3,831",$ 351,"$3,835","$30,267","$80,087"
"Outlays, Net:",,,,,,
"Outlays, Net (Total) (Discretionaryand Mandatory)","16,200","3,126",135,,,
Distributed Offseting Receipts (-),"(2,672)",,,"1,599","19,179","40,239"
"Agency Outlays, Net (Discretionary and Mandatory)","$13,528","二 $3,126",二 $ 135,"1 $ 1,599","1 $19,179","(2,672) $37,567"
