Description,Diplomatic Reception Rooms Collection,Art Bank Program,Art in Embassies Program,Cultural Heritage Collection,Library Rare & Special Book Collection
Description,Collectibles - Art and furnishings from the period 1750 to 1825,Collection of American works of art on paper,Collectibles - American works of art,Collections include fine and decorative arts and other cultural objects,Collectibles - Rare books and other publications of historic value
Acquisition and Withdrawal,Acquired through donation or purchase using donated funds. Excess items are sold.,Acquired through purchase. Excess items are transferred.,Acquired through purchase or donation. Excess items are sold.,"The program provides assessment, preservation, and restoration as needed.",Acquired through donation.
Condition,Good to excellent,Poor to excellent,Good to excellent,Good to excellent,Poor to good
Number of Assets - 9/30/2019,"1,821","2,647","1,263","18,587","1,342"
Acquisitions,8,13,6,93,34
Adjustments,1,,,,565
Disposals,5,,,220,5
Number of Assets - 9/30/2020,"1,825","2,660","1,269","19,025","1,371"
Acquisitions,8,25,12,176,9
Adjustments,,,,,865
Disposals,,,,334,2
Number of Assets - 9/30/2021,"1,833","2,685","1,281","19,732","1,378"
