,Diplomatic,Diplomatic,Consular and Border Security Global Health Programs,Consular and Border Security Global Health Programs,Programs,Programs,Migration and Refugee Assistance,Migration and Refugee Assistance,Education and Cultural Exchange,Education and Cultural Exchange,International Programs and Operations,International Programs and Operations,Total,Total
Budgetary Resources,Programs,588,$,一,,$435,,$,350,$,丨,$,,"$1,7"
"Appropriations Transfers, Net",,(278),,273,,,,,一,,5,,,
Total Budgetary Resources,,$310,,$273,,$435,,$350,,$,5,$,,丨 $1
Status of Budgetary Resources New Obligations,,$273,,197,,$ 336,,$,350,$,5,$,,"$1,161"
"Unobligated,Unexpired Accounts Total Budgetary Resources",,37,,76,,99 $435,,$350,一,$,5,,,212
,$310,,,273,,,,,,,,$ 1,,"$1,373"
"Outlays, Net: Outlays, Net (Total)",$134,,,$190,,$106,,$302,,$,3,$,,$735
"Agency Outlays, Net",,134,,190,,$ 106,,$ 302,,$,3,$,,$735
Net Cost,$,135,,191,,139,,$ 302,,$,,$,$,770
Total Net Cost,$,135,,191,,$ 139,,$,302,$,3,$,$,770
