(dollars in millions),"Under Secretary for Arms Control, Int'l Security",Under Secretary for Managment- Consular Affairs,"Under Secretary for Civilian Security, Democracy and Human Rights","Under Secretary for Economic Growth,Energy and Environment",Under Secretary for Political Affairs,Under Secretary for Public Diplomacy and Public Affairs,Intra- Departmental Eliminations,Total
SG1:Protect America's Security at Home and Abroad,,,,,,,,
Total Cost,586,"2,238","1,535",25,"3,095",270,(104),"7,645"
Earned Revenue,-32,"-1,821",-28,-,-153,8,65,"-1,977"
Net Program Costs,554,417,"1,507",25,"2,942",262,(39),"5,668"
SG2:Renew America's Competitive Advantage for Sustained Economic Growth and Job Creation,,,,,,,,
Total Cost,27,66,5,64,"1,782",156,(40),"2,060"
Earned Revenue,-4,-57,-6,1,-66,-5,28,-110
Net Program Costs,23,9,-1,64,"1,716",151,(12),"1,950"
SG3:Promote American Leadership through Balanced Engagement,,,,,,,,
Total Cost,192,42,"17,948",17,"1,494",215,(29),"19,879"
Earned Revenue,-10,-37,-8,-,-44,-5,20,-84
Net Program Costs,182,5,"17,940",17,"1,450",210,(9),"19,795"
SG4: Ensure Effectiveness and Accountability to the American Taxpayer,,,,,,,,
Total Cost,181,"1,539",56,78,"17,242",518,"(5,308)","14,306"
Earned Revenue,-28,"-7,062",-62,-,"-3,302",-10,"5,194","-5,270"
Net Program Costs,153,"(5,523)",-6,78,"13,940",508,(114),"9,036"
Actuarial Loss on Pension Assumption Changes,,,,,,,,
Total Cost,17,149,5,8,"1,669",50,-,"1,898"
Net Program Costs,170,"(5,374)",-1,86,"15,609",558,(114),"10,934"
Cost Not Assigned to Programs,,,,,,,,
Total Cost,-,-,21,-,3,1,-,25
Earned Revenue,-,-,-1,-1,-,-,-,-2
Net Costs,-,-,20,-1,3,1,-,23
Total Cost,"1,003","4,034","19,570",192,"25,285","1,210","(5,481)","45,813"
Total Revenue,-74,"-8,977",-105,-1,"-3,565",-28,"5,307","-7,443"
Total Net Cost,$ 929,"$ (4,943)","$ 19,465",$ 191,"$ 21,720","$ 1,182",$ (174),"$ 38,370"
