Appropriation/Program,2020 Unobligated,2021,2021,2021,2021,2021,2021,2022,2022,2022
Appropriation/Program,2020 Unobligated,Appropriations Bill (Public Law No. 116-260),Appropriations Bill (Public Law No. 116-260),Appropriations Bill (Public Law No. 116-260),ARP (Public Law,Total New Budget,2021,Grand Total Request2,Continuing Resolution,Total
Appropriation/Program,2020 Unobligated,Balances in 2021,Enduring,Title Ix OCO Emergency,ARP (Public Law,Total New Budget,2021,Grand Total Request2,Continuing Resolution,Total
(dollars in millions) 2. Foreign Assistance,"18,201.5","33,058.44,452.6",,"4,700.0","No. 117-2) 10,596.0","Authority2 52,807.0","71,008.5","41,199.1","1,791.1","42,990.2"
a. Economic & Development Asstance,"6,975.5","8,222.5",二,700.0,"9,255.0","18,177.5","25,153.0","10,024.1",,"10,024.1"
i.Economic Support Fund,"2,494.3","3,152.0",,700.0,"8,675.0","12,527.0","15,021.3","4,260.2",,"4,260.2"
ii. Development Assistance,"3,400.0","3,500.0",,1,1,"3,500.0","6,900.0","4,075.1",,"4,075.1"
"ii. Intermational Organizationsand Programs iv.Assistance forEurope,Eurasia&Central",1,387.5,,,580.0,967.5,967.5,457.1,,457.1
Asia,768.1,770.3,,,,770.3,"1,538.4",788.9,,788.9
v.Transition Initiatives,9.4,92.0,,,,92.0,101.4,92.1,,92.1
vi. Complex Crises Fund,30.0,30.0,,,,30.0,60.0,60.0,,60.0
vii. Democracy Fund,273.7,290.7,,,,290.7,564.4,290.7,,290.7
b. Health,"6,301.0","9,196.0",,"4,000.0",,"13,196.0","19,497.0","10,051.0",,"10,051.0"
i.Global Health Programstate,"3,566.1","5,930.0",一,一,,"5,930.0","9,496.1","6,180.0",,"6,180.0"
ii.Global Health Programs-USAID,"2,734.9","3,266.0",1,"4,000.0",,"7,266.0","10,000.9","3,871.0",,"3,871.0"
c. Security Assistance,"2,759.6","8,101.9",902.1,,一,"9,004.0","11,763.6","9,183.9",,"9,183.9"
i.Foreign Miliary Financing ii.International Narcotics Controland Law,511.9,"5,598.6",576.9,,,"6,175.5","6,687.4","6,175.5",,"6,175.5"
Enforcement ii. Intermational Military Education and,"1,283.0","1,385.6",一,,,"1,385.6","2,668.6","1,525.8",一,"1,525.8"
"Training iv. Nonproliferation,Antiterrorism,and",11.0,112.9,一,,一,112.9,123.9,112.9,,112.9
Demining,725.6,889.2,1,,1,889.2,"1,614.8",900.2,1,900.2
V.Peacekeeping Operations d. Humanitarian Assistance,228.1,115.6,325.2,,一,440.8,"668.9 12,793.9",469.5,,469.5
i.Migration and Refugee Assistance,"1,926.4 602.4","5,952.0 1,730.6","3,615.5 1,701.4",一,"1,300.0 500.0","10,867.5 3,932.0","4,534.4","10,097.5 3,845.0","1,791.1 415.0","11,888.6 4,260.0"
ii. Emergency Refugee and Migration Assistance,,,,,,,,,,
iii International Disaster Assistance,0.1,0.1,,,,0.1,"0.2 5,620.6",0.1,976.1,976.2
"iv.Food forPeace,Title","1,225.2","2,481.3 1,740.0","1,914.1",,1 800.0,"4,395.4 2,540.0","2,638.7","4,682.4 1,570.0",400.0,"5,082.4"
e. USAID Administrative Expenses,98.7 239.0,"1,711.4",,,41.0,"1,752.4","1,991.4","1,862.6",1 一,"1,570.0 1,862.6"
i.USAID Operating Expense,204.1,"1,377.7",一,,41.0,"1,418.7","1,622.8","1,527.9",,"1,527.9"
ii. USAID Capital Investment Fund,25.6,258.2,,,,258.2,283.8,258.2,,258.2
ii. USAID Inspector General,9.3,75.5,,,,75.5,84.8,76.5,,76.5
f.Foreign Assistance Rescission or,,,,,,,,,,
Cancellationof Prior Year Balances,,(125.4),(65.0),,,(190.4),(190.4),(20.0),,(20.0)
