Liabilities Not Covered by Budgetary Resources,2021,2020
Intragovernmental Liabilities,,
Unfunded FECA Liability,$ 19$,19
Total Intragovernmental Liabilities,19,19
International Organizations Liability,"1,564","2,259"
Unfunded Actuarial Liabilities: Foreign Service Retirement Actuarial Liability,"6,984","4,977"
Foreign Service Nationals (FSN):,,
Defined Contributions Fund,307,273
Defined Benefit Plans,20,19
Lump Sum Retirement and Voluntary Severance,692,593
Total Unfunded Actuarial Liabilities,"8,003","5,862"
Unfunded Leave,555,536
Environmental and Disposal Liabilities,52,52
Capital Lease Liability,46,49
Contingent Liability,72,61
Other Liabilities,148,222
Total Liabilities Not Covered by Budgetary Resources,"10,459","9,060"
Total Liabilities Covered by Budgetary Resources,"25,023","23,898"
Total Liabilities Not Requiring Budgetary Resources,266,
Total Liabilities,"$ 35,748","84 33,042"
