Consular and Border Security Programs,All Other Funds from Dedicated Collections,Total Funds from Dedicated Collections,Consular and Border Security Programs,All Other Funds from Dedicated Collections,Total Funds from Dedicated Collections
Balance Sheet as of September 30,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS
Intragovernmental:,Fund Balance with Treasury,Fund Balance with Treasury,Fund Balance with Treasury,Fund Balance with Treasury,Fund Balance with Treasury
,"$ 1,625",,$ 148,"$ 1,773","$ 2,003"
,Investments,,46,46,"46,46"
,,,,,
,Advances and Prepayments,12,12,12,93
,,,,,
,Total Intragovernmental,"1,637",194,"1,831","2,096"
,,,,,
,"$ 2,382","$ 2,382","$ 2,382","$ 2,382","$ 2,382"
With the Public:,,"Accounts Receivable, Net","Accounts Receivable, Net","Accounts Receivable, Net","Accounts Receivable, Net"
,1,1,1,1,1
,"General Property and Equipment, Net",38,107,145,9
,,,,,
,Advances and Prepayments,11,(1),10,8
,,,,,
,Total With the Public,50,106,156,18
,,,,,
,$ 231,$ 231,$ 231,$ 231,$ 231
Total Assets,"$ 1,687",$ 300,"$ 1,987","$ 2,114",$ 392
,"$ 2,506","$ 2,506","$ 2,506","$ 2,506","$ 2,506"
LIABILITIES,Intragovernmental:,Intragovernmental:,Intragovernmental:,Intragovernmental:,Intragovernmental:
Accounts Payable,$ 10,$ 10,$ 20,$ 49,$ 49
Advances from Others and Deferred Revenue,15,-,15,8,-
Other,24,-,24,18,-
Total Intragovernmental,49,10,59,75,-
,$ 75,$ 75,$ 75,$ 75,$ 75
With the Public:,Accounts Payable,Other Accounts Payable,Other Accounts Payable,Other Accounts Payable,Other Accounts Payable
Federal Employee and Veteran Benefits Payable,71,-,71,74,2
Other,28,-,28,27,-
Total With the Public,$ 232,2,$ 234,$ 229,2
Total Liabilities,$ 281,$ 12,$ 293,$ 304,$ 2
NET POSITION,Unexpended Appropriations,Unexpended Appropriations,Unexpended Appropriations,Unexpended Appropriations,Unexpended Appropriations
Cumulative Results of Operations,"1,404",288,"1,692","1,727",390
Total Net Position,"$ 1,406",$ 288,"$ 1,694","$ 1,810",$ 390
Total Liabilities and Net Position,"$ 1,687",$ 300,"$ 1,987","$ 2,114",$ 392
Statement of Net Cost for the Year Ended September 30,Gross Program Costs,Gross Program Costs,Gross Program Costs,Gross Program Costs,Gross Program Costs
Less: Earned Revenues,"2,108",1,"2,109","2,011",1
Net Program Costs,935,156,"1,091","1,158",78
Net Cost of Operations,$ 935,$ 156,"$ 1,091","$ 1,158",$ 78
Statement of Changes in Net Position for the Year Ended September 30,Unexpended Appropriations,Unexpended Appropriations,Unexpended Appropriations,Unexpended Appropriations,Unexpended Appropriations
Beginning Balances,$ 83,$ 83,$ 83,$ 83,$ 83
Appropriations Received,300,300,273,273,
Appropriations Transferred In(Out),-,-,-,-,-
Appropriations Used,(381),(381),(190),(190),
Net Change in Unexpended Appropriations Total Unexpended Appropriations: Ending,2,83,83,,
