STATEMENTOFNETCOST(NOTET4)(dollarsinmons),STATEMENTOFNETCOST(NOTET4)(dollarsinmons),STATEMENTOFNETCOST(NOTET4)(dollarsinmons)
"For the Year Ended September 30,",2021,2020
SG1: Protect America's Security at Home and Abroad Total Cost,"$ 7,645","$ 7,554"
Earned Revenue,"(1,977)","(1,864)"
Net Program Costs,"5,668","5,690"
SG2: Renew America's Competitive Advantage for Sustained Economic Growth and Job Creation,,
Total Cost Earned Revenue,"2,060","2,113"
Net Program Costs,"(110) 1,950","(92) 2,021"
SG3: Promote American Leadership through Balanced Engagement,,
Total Cost,"19,879",
Earned Revenue,(84),"14,709 (68)"
Net Program Costs,"19,795","14,641"
SG4: Ensure Effectiveness and Accountability to the American Taxpayer,,
Total Cost,"14,306","13,961"
Earned Revenue,"(5,270)","(4,729)"
Net Program Costs Before Assumption Changes,"9,036","9,232"
Actuarial Loss on Pension,,
Assumption Changes (Notes 1 and 9),"1,898","1,056"
Net Program Costs,"10,934","10,288"
Cost Not Assigned to Programs,,
Total Cost,25,
Earned Revenue,（2),(1)
Net Costs,23,(2)
Total Cost and Loss on Assumption Changes,"45,813",(3)
Total Revenue,,"39,392"
,"(7,443)","(6,755)"
Total Net Cost,"$ 38,370","$ 32,637"
