Appropriation/Program,(dollars in millions),2020 Unobligated Balances in 2021,Appropriations Bill (Public Law No. 116-260),2021,2022,2021 Grand Total,Request^2,Continuing Resolution,Total
Total State/USAID Diplomatic Engagement and Foreign Assistance (Gross Budget Authority),$32,977.4,$45,056.2,$8,000.0,$5,150.0,"$10,800.0,$76,641.9,$67,736.0,$2,068.0,$69,804.0"
1. Diplomatic Engagement,14,775.9,11,997.8,3,547.4,450.0,204.0,"7,635.7,23,834.9,38,610.8,26,536.9,276.9,26,813.8"
a. Administration of Foreign Affairs,13,775.4,9,318.5,2,745.2,450.0,204.0,"7,635.7,20,353.4,34,128.8,22,427.9,276.9,22,704.8"
i. State Programs,4,225.1,7,130.5,1,866.0,300.0,204.0,"7,635.7,17,136.2,21,361.3,19,476.0,--,19,476.0"
1. Diplomatic Programs,2,334.0,6,880.5,1,866.0,--,204.0,"--,8,950.5,11,284.5,9,490.7,--,9,490.7"
a. Ongoing Operations,710.9,5,203.0,--,--,204.0,--,5,"407.0,6,117.9,5,414.8,--,5,414.8"
b. Worldwide Security Protection,1,623.1,1,894.8,2,226.1,--,--,"--,4,120.9,5,744.0,4,075.9,--,4,075.9"
c. Worldwide Security Protection (Prior Year Rescissions/Transfers),--,--,--,--,--,--,--,577.4,"--,--,577.4"
2. Capital Investment Fund,0.6,0.6,0.6,250.0,300.0,250.0,250.0,448.9,"448.9,448.9,--,448.9"
3. Consular Border Security Programs,75.6,75.6,300.0,--,--,300.0,375.6,320.0,"320.0,--,320.0"
4. Non-Appropriated Accounts^2,1,814.9,--,--,3,729.3,3,729.3,"4,558.8,3,967.5,--,3,967.5"
a. Working Capital Fund^2,204.1,--,--,--,1,691.4,1,691.4,"1,895.5,1,647.9,--,1,647.9"
b. International Cooperative Administrative Support Services^2,829.5,--,--,--,3,729.3,3,729.3,"4,558.8,3,967.5,--,3,967.5"
c. Consular Border Security Programs Fee Revenue^2,781.3,--,--,--,2,215.0,2,215.0,"2,996.3,3,601.0,--,3,601.0"
ii. Sudan Claims Resolution,--,--,150.0,--,--,150.0,150.0,--,"--,150.0"
iii. Embassy Security, Construction, & Maintenance,9,126.6,1,126.2,824.3,--,"--,1,950.5,11,077.1,1,983.1,--,1,983.1"
1. Ongoing Operations,500.0,500.0,769.1,--,--,--,769.1,1,"269.1,850.7,--,850.7"
2. Worldwide Security Upgrades,8,626.6,8,626.6,357.1,824.3,--,--,"1,181.4,9,808.0,1,132.4,--,1,132.4"
iv. Other Administration of Foreign Affairs,423.7,1,061.8,54.9,--,--,--,1,"116.7,1,540.4,968.8,276.9,1,245.7"
1. Buying Power Maintenance,12.4,12.4,--,--,--,--,--,12.4,"--,12.4"
2. Office of Inspector General,6.1,6.1,90.8,54.9,--,--,--,145.7,"151.8,146.4,--,146.4"
3. Educational and Cultural Exchange Programs,116.0,116.0,740.3,--,--,--,--,740.3,"856.3,741.3,--,741.3"
4. Representation Expenses,--,7.4,--,--,--,--,7.4,7.4,"7.4,--,7.4"
5. Protection of Foreign Missions and Officials,14.6,14.6,30.9,--,--,--,--,30.9,"45.5,30.9,--,30.9"
6. Emergencies in the Diplomatic and Consular Service,274.6,274.6,157.9,--,--,--,--,157.9,"432.5,8.9,276.9,285.8"
7. Repatriation Loans Program Account,--,2.5,--,--,--,--,2.5,2.5,"1.3,--,1.3"
8. Payment to the American Institute in Taiwan,--,32.0,--,--,--,--,32.0,32.0,"32.6,--,32.6"
b. International Organizations,841.9,2,159.9,802.2,--,--,2,962.1,"3,804.0,3,591.5,--,3,591.5"
1. Contributions to International Organizations,102.3,1,409.7,96.2,--,--,--,1,"505.9,1,608.2,1,662.9,--,1,662.9"
2. Contributions for International Peacekeeping Activities,739.6,739.6,750.2,706.0,--,--,--,1,"456.2,2,195.8,1,928.6,--,1,928.6"
c. International Commissions,142.1,176.6,--,--,--,176.6,318.7,176.6,"--,176.6"
1. International Boundary and Water Commission – Salaries and Expenses,--,49.8,--,--,--,49.8,49.8,52.0,"--,52.0"
2. International Boundary and Water Commission – Construction,142.0,142.0,49.0,--,--,--,49.0,191.0,"46.8,--,46.8"
3. American Sections,0.1,0.1,15.0,--,--,--,15.0,15.1,"15.0,--,15.0"
a. North American Development Bank,--,1.9,--,--,--,1.9,1.9,1.9,"--,1.9"
b. International Joint Commission,0.1,0.1,10.8,--,--,--,10.8,10.9,"10.8,--,10.8"
c. International Boundary Commission,--,0.1,2.3,--,--,--,2.3,2.3,"2.3,--,2.3"
4. International Fisheries Commissions,--,62.8,--,--,--,62.8,62.8,62.8,"--,62.8"
d. Related Programs,0.9,339.7,--,--,--,339.7,340.6,339.7,"--,339.7"
1. The Asia Foundation,--,20.0,--,--,--,20.0,20.0,20.0,"--,20.0"
2. National Endowment for Democracy,0.9,300.0,--,--,--,300.0,300.0,300.0,"--,300.0"
3. East-West Center,--,19.7,--,--,--,19.7,19.7,19.7,"--,19.7"
e. Special and Trust Funds,15.6,3.1,--,--,--,3.1,18.7,1.2,"--,1.2"
1. Center for Middle Eastern-Western Dialogue,11.6,0.2,--,--,--,0.2,11.8,0.2,"--,0.2"
2. Eisenhower Exchange Fellowship Program,--,0.1,--,--,--,0.1,0.1,0.2,"--,0.2"
3. Israeli Arab Scholarship Program,0.4,0.1,--,--,--,0.1,0.5,0.1,"--,0.1"
4. International Chancery Center,3.6,2.7,--,--,--,2.7,6.3,0.7,"--,0.7"
5. Foreign Service Retirement and Disability Fund (non-add)^3,--,158.9,--,--,--,158.9,158.9,158.9,"--,158.9"
