Other Liabilities,2021,2020
Intragovernmental,,
Intragovernmental,Custodial and Other Non-Entity Assets Liability,"$ 24,$ 21"
Intragovernmental,Debt,"4,5"
Intragovernmental,Unfunded FECA Liability,"19,19"
Intragovernmental,Other Liabilities,"26,23"
Intragovernmental,Total Intragovernmental,"73,68"
With the Public:,,
With the Public:,Capital Lease Liability,"46,49"
With the Public:,Accrued Funded Payroll and Leave,"217,186"
With the Public:,Withholdings Payable,"19,18"
With the Public:,Contingent Liability,"72,62"
With the Public:,Other Liabilities Without Related Budgetary Obligations,"324,257"
With the Public:,Other Liabilities With Related Budgetary Obligations,
With the Public:,,"213,222"
Total Other Liabilities,$ 964,$ 862
