Amounts,Amounts,Dedicated Collections,All O0ther Amounts (with Eliminations),Eliminations Between Dedicated,,,
Financial Statement Line Cost and Loss on,Financial Statement Line Cost and Loss on,Combined,,and All Other,Total,Reclassified Financial Statement Line Non-Federal Costs,
Assumption Changes,"$45,813","$ 1,754","$ 38,870",$,"$ 40,624",Non-Federal Gross Cost,
Assumption Changes,"$45,813",,"1,898",,"1,898",Loss on Changes in Actuarial Assumptions (Non-Federal),
Assumption Changes,"$45,813","1,754","40,768",,"42,522",Total Non-Federal Costs,
Assumption Changes,"$45,813",,,,,Intragovernmental Costs,
Assumption Changes,"$45,813",141,398,(44),495,Benefit Program Costs,
Assumption Changes,"$45,813",54,162,(20),196,Imputed Costs,
Assumption Changes,"1,215","1,821",(680),"2,356",Buy/Sell Costs,,
Assumption Changes,,,36,208,,244,Other Expenses (without Reciprocals)
Total Costs and Loss on,Total Costs and Loss on,"1,446","2,589",（744),"3,291",Total Intragovernmental Costs,
Assumption Changes Earned Revenue,"45,813 7,443","3,200 2,101","43,357 1,381",(744) 一,"45,813 3,482",Total Reclassified Gross Costs Non-Federal Earned Revenue,
Assumption Changes Earned Revenue,,,,,,Intragovernmental Earned Revenue,
Assumption Changes Earned Revenue,,7,"4,093",(680),"3,420",Buy/Sell Revenue,
Assumption Changes Earned Revenue,,,110,(44),66,Benefit Program Revenue,
Assumption Changes Earned Revenue,,,,,,Federal Securities Interest Revenue Including Associated,
Assumption Changes Earned Revenue,,1 8,"474 4,677",,475,Gains/Losses (Exchange),
Total Earned Revenue,"7,443","2,109","6,058",（724) （724),"3,961 7,443",Total Intragovernmental Earned Revenue Total Reclassified Earned Revenue,
Net Cost,"$38,370","1,091","$ 37,299",$ (20),,,
,,$,,,"$ 38,370",Net Cost,
