"For the Year Ended September 30,",2021,2021,2021,2021,2020
,Combined Funds From Dedicated Combined All,Combined Funds From Dedicated Combined All,Combined Funds From Dedicated Combined All,Combined Funds From Dedicated Combined All,
,Collections,Other Funds,Departmental Eliminations,Consolidated Total,Consolidated Total
Unexpended Appropriations Beginning Balances,83,"$ 46,834",$,"$ 46,917",
Appropriations Received,$,,,,"$ 46,623"
Appropriations Transferred In(Out),300,"38,352",,"38,652","33,457"
Other Adjustments,1,(22),,(22),(71)
Appropriations Used,丨 (381),"(655) (38,542)",,"(655) (38,923)",(389)
Net Change in Unexpended Appropriations,,,,,"(32,703)"
,(81),(867),一,(948),294
Total Unexpended Appropriations: Ending,2,"45,967",,"45,969","46,917"
Cumulative Results of Operations,,,,,
Beginning Balances,"$ 2,117","$ 27,662",$,"$ 29,779","$ 29,938"
Appropriations Used,381,"38,542",,"38,923","32,703"
Donations and Forfeitures of Cash and Cash Equivalents,14,,,,
Transfers In(Out) Without Reimbursement,,丨,,14,62
,217,(226),一,(9),63
Donations and Forfeitures of Property,1,104,1,104,1
Imputed Financing,54,316,(174),196,186
Non-Entity Collections,1,(502),1,(502),(536)
Net Cost of Operations,"(1,091)","(37,453)",174,"(38,370)","(32,637)"
Net Change in Cumulative Results of Operations,(425),781,1,356,(159)
Total Cumulative Results of Operations: Ending,"1,692","28,443",,"30,135","29,779"
Net Position,"$ 1,694","$ 74,410",$,"$ 76,104","$ 76,696"
