Budgetary Resources,Diplomatic Programs,Consular and Border Security Programs,Global Health Programs,Migration and Refugee Assistance,Education and Cultural Exchange,International Programs and Operations,Total
Appropriations,$ 588,$ —,$ 435,$ 350,$ —,$ —,"$ 1,373"
"Transfers, Net",(278),273,—,—,5,—,—
Total Budgetary Resources,$ 310,$ 273,$ 435,$ 350,$ 5,$ —,"$ 1,373"
Status of Budgetary Resources,New Obligations,$ 273,$ 197,$ 336,$ 350,$ 5,"$ —,$ 1,161"
"Unobligated, Unexpired Accounts",37,76,99,—,—,—,212
Total Budgetary Resources,$ 310,$ 273,$ 435,$ 350,$ 5,$ —,"$ 1,373"
"Outlays, Net:","Outlays, Net (Total)",$ 134,$ 190,$ 106,$ 302,$ 3,"$ —,$ 735"
"Agency Outlays, Net",$ 134,$ 190,$ 106,$ 302,$ 3,$ —,$ 735
Net Cost,$ 135,$ 191,$ 139,$ 302,$ 3,$ —,$ 770
Total Net Cost,$ 135,$ 191,$ 139,$ 302,$ 3,$ —,$ 770
