Appropriation/Program(dollars in millions),2020Unobligated,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022
Appropriation/Program(dollars in millions),2020Unobligated,Appropriations Bill(Public Law No. 116-260),Appropriations Bill(Public Law No. 116-260),Appropriations Bill(Public Law No. 116-260),Appropriations Bill(Public Law No. 116-260),Appropriations Bill(Public Law No. 116-260),Appropriations Bill(Public Law No. 116-260),ARP,ARP,Non-,Non-,Total NewBudgetAuthority2,Total NewBudgetAuthority2,2021Grand Total,Request2,ContinuingResolution,Total
Appropriation/Program(dollars in millions),Balances in2021,Enduring,Enduring,oCo,oCo,Title IXEmergency,Title IXEmergency,(Public LawNo. 117-2),(Public LawNo. 117-2),AppropriatedAccounts,AppropriatedAccounts,Total NewBudgetAuthority2,Total NewBudgetAuthority2,2021Grand Total,Request2,ContinuingResolution,Total
Total State/USAID DiplomaticEngagement and Foreign Asstance,,,,,,,,,,,,,,,,,
(Gross Budget Authority),"$32,977.4","$45,056.2","$45,056.2","$8,000.0","$8,000.0","$5,150.0","$5,150.0","$10,800.0","$10,800.0","$7,635.7","$7,635.7","$76,641.9","$76,641.9","$109,619.3","$67,736.0","$2,068.0","$69,804.0"
1. Diplomatic Engagement,"14,775.9","11,997.8","11,997.8","3,547.4","3,547.4",450.0,450.0,204.0,204.0,"7,635.7","7,635.7","23,834.9","23,834.9","38,610.8","26,536.9",276.9,"26,813.8"
a. Administration of Foreign Affairs,"13,775.4","9,318.5","9,318.5","2,745.2","2,745.2",450.0,450.0,204.0,204.0,"7,635.7","7,635.7","20,353.4","20,353.4","34,128.8","22,427.9",276.9,"22,704.8"
i.State Programs,"4,225.1","7,130.5","7,130.5","1,866.0","1,866.0",300.0,300.0,204.0,204.0,"7,635.7","7,635.7","17,136.2","17,136.2","21,361.3","19,476.0",,"19,476.0"
1. Diplomatic Programs,"2,334.0","6,880.5","6,880.5","1,866.0","1,866.0",,,204.0,204.0,,,"8,950.5","8,950.5","11,284.5","9,490.7",,"9,490.7"
a.Ongoing Operations,710.9,"5,203.0","5,203.0",,,,,204.0,204.0,,,"5,407.0","5,407.0","6,117.9","5,414.8",,"5,414.8"
b.Worldwide Security Protection,"1,623.1","1,894.8","1,894.8","2,226.1","2,226.1",,,,,,,"4,120.9","4,120.9","5,744.0","4,075.9",,"4,075.9"
c.Worldwide Security Protection (PriorYear Rescissions/Transfers),,(217.3),(217.3),(360.1),(360.1),,,,,,,(577.4),(577.4),(577.4),,,
2. Capital Investment Fund,0.6,250.0,250.0,,,,,,,,,250.0,250.0,250.6,448.9,,448.9
3.Consular Border Security Programs,75.6,,,,,300.0,300.0,,,,,300.0,300.0,375.6,320.0,,320.0
4. Non-Appropriated Accounts2,"1,814.9",,,,,,,,,"7,635.7","7,635.7","7,635.7","7,635.7","9,450.6","9,216.4",,"9,216.4"
a. Working Capital Fund2,204.1,,,,,,,,,"1,691.4","1,691.4","1,691.4","1,691.4","1,895.5","1,647.9",,"1,647.9"
b.International Cooperative AdministrativeSupport Services2,829.5,,,,,,,,,"3,729.3","3,729.3","3,729.3","3,729.3","4,558.8","3,967.5",,"3,967.5"
c. Consular Border Security Programs Fee,,,,,,,,,,,,,,,,,
Revenue2,781.3,,,,,,,,,,,,,,,,
Revenue2,781.3,,,,,,,,,"2,215.0","2,215.0","2,215.0","2,215.0","2,996.3","3,601.0",,"3,601.0"
ii. Sudan Claims Resolution,,,,,,150.0,150.0,,,,,150.0,150.0,150.0,,,一
"iii. EmbassySecurityConstruction,&Maintenance","9,126.6","1,126.2","1,126.2",824.3,824.3,,,,,,,,,,,,
"iii. EmbassySecurityConstruction,&Maintenance","9,126.6","1,126.2","1,126.2",824.3,824.3,一,一,,,,,"1,950.5","1,950.5","11,077.1","1,983.1",,"1,983.1"
1. Ongoing Operations,500.0,769.1,769.1,,,,,,,,,769.1,769.1,"1,269.1",850.7,,850.7
2.Worldwide Security Upgrades,"8,626.6",357.1,357.1,824.3,824.3,,,,,,,"1,181.4","1,181.4","9,808.0","1,132.4",,"1,132.4"
iv.Other Administration of Foreign Affairs,423.7,"1,061.8","1,061.8",54.9,54.9,一,一,,,,,"1,116.7","1,116.7","1,540.4",968.8,276.9,"1,245.7"
1. Buying Power Maintenance,12.4,,,,,,,,,,,,,12.4,,,
2.Office of Inspector General,6.1,90.8,90.8,54.9,54.9,,,,,,,145.7,145.7,151.8,146.4,,146.4
3.EducationalandCulturaExchangePrograms,116.0,740.3,740.3,,,740.3,740.3,740.3,740.3,740.3,740.3,740.3,740.3,856.3,741.3,,741.3
4. Representation Expenses,一,7.4,7.4,,,,,,,,,,7.4,7.4,7.4,,7.4
5.Protection of Foreign Missions andOfficials,14.6 30.9,14.6 30.9,14.6 30.9,,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,45.5,30.9,30.9,30.9
6.Emergencies in the Diplomatic andConsular Service,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,274.6 157.9 157.9,432.5,8.9 276.9,8.9 276.9,285.8
7. Repatriation Loans Program Account,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.3,1.3,1.3
8.Payment to the American Institute inTaiwan,一,一,32.0,32.0,,,,,,,一 32.0,一 32.0,一 32.0,32.0,32.6 32.6,32.6 32.6,32.6 32.6
b. International Organizations,"841.9 2,159.9","841.9 2,159.9","841.9 2,159.9","841.9 2,159.9",802.2,802.2,802.2,802.2,802.2,802.2,"一 2,962.1","一 2,962.1","一 2,962.1","3,804.0","3,591.5 3,591.5","3,591.5 3,591.5","3,591.5 3,591.5"
1.Contributions to International,,,,,96.2,96.2,96.2,96.2,96.2,96.2,"1,505.9","1,505.9","1,505.9","1,608.2","1,662.9 1,662.9","1,662.9 1,662.9","1,662.9 1,662.9"
