Treasury Fund Symbol,Description,Statute
19X5713,Consular and Border Security Programs,Public Law No. 115-31
19X5515,H-1B and L Fraud Prevention and Detection,118 Stat. 3357
19X8166,American Studies Endowment Fund,108 Stat. 425
19X8167,Trust Funds,22 U.S.C. 1479
19X8271,Israeli Arab Scholarship Programs,"105 Stat. 696, 697"
19X8272,Eastern Europe Student Exchange Endowment Fund,105 Stat. 699
19X8813,Center for Middle Eastern-Western Dialogue Trust Fund,118 Stat. 84
19X8821,Unconditional Gift Fund,"22 U.S.C. 809, 1046"
19X8822,Conditional Gift Fund,"22 U.S.C. 809, 1046"
95X8276,Eisenhower Exchange Fellowship Program Trust Fund,Public Law No. 101-454
