Financial Statement Line,Amounts,Dedicated Collections Combined,All 0ther Amounts (with Eliminations),Eliminations Between Dedicated and All Other,Total,Reclassified Financial Statement Line
Unexpended Appropriations Beginning Balances,"$46,917",83,"$46,834",$,"$46,917","Unexpended Appropriations, Beginning Balance"
Budgetary Financing Sources,,,,,,
Appropriations Received,"38,652 (655)",300,"37,697",,"37,997",Appropriations Received
Other Adjustments Appropriations Transferred In(Out),(22),,25,,25,Non-Expenditure Transfers-In of Unexpended Appropriations and Financing Sources
,,,(47),,,Non-Expenditure Transfer-Out of Unexpended Appropriations and Financing Sources
Appropriations Used,"(38,923)",(381),"(38,542)",,"（47) (38,923)",Appropriations Used
Total Unexpended Appropriations,"45,969",2,"45,967",,"45,969",Total Unexpended Appropriations
Cumulative Results of Operations,,,,,,Cumulative Results of Operations -
Begining Balances,"$29,779","2,117","$27,662",$,"$29,779",Beginning Balance
Budgetary Financing Sources Appropriations Used,"38,923",381,"38,542",,"38,923",Appropriations Expended
Donations and Forfeitures of Cash and Cash Equivalents,,,,,,
Donationsand Forfeitures of Property,14 104,14 1,104,,118（,Other Taxes and Receipts (Non-Federal)
Transfers In(Out) Without Reimbursement,,,,,,Non-Expenditure Transfers-In of Unexpended Appropriations and Financing Sources
,（9）,219,1,(219),,Non-Expenditure Transfers-Out of Unexpended
,,,(219),219,,Appropriations and Financing Sources
,,43,,,43,Appropriation of Unavailable Special or Trust Fund Receipts Transfers-In
,,,,,,Appropriation of Unavailable Special or
,,(3) (1),一 2,,(3) 1,Trust Fund Receipts Transfers-Out
,,(41),（9),,（50),Transfer-In Without Reimbursement Transfers-Out Without Reimbursement
Imputed Financing,196,54,162,(20),196,Imputed Financing Sources
,,,,,,Non-Entity Custodial Collections Transferred
Non-Entity Collections,(502),,(502),,(502),to the General Fund
Net Cost of Operations,"(38,370)","(1,091)","(37,299)",20,"(38,370)",Net Cost of Operations
Total Cumulative Results,,,,,,
,"30,135","1,692","28,443",,"30,135",Total Cumulative Results of Operations
of Operations,,,,,,
