,Diplomatic ReceptionRooms Collection,Art BankProgram,Art in EmbassiesProgram,CulturalHeritageCollection,Library Rare &Special BookCollection
Description,Collectibles -Art and furnishingsfrom the period 1750to 1825,Collection ofAmerican worksof art on paper,Collectibles -American worksof art,Collections icludefine and decorativearts and othercultural objects,Collectibles -Rare books andother publicationsof historic value
Acquisition andWithdrawal,Acquired throughdonation or purchaseusing donated funds.Excess items are sold.,Acquired throughpurchase. Excessitems aretransferred.,Acquired throughpurchase ordonation. Excess items are sold.,"The programprovides assessment,preservation,andrestoration asneeded.",Acquiredthroughdonation.
Condition,Good to excellent,Poor to excellent,Good to excellent,Good to excellent,Poor to good
Number of Assets -9/30/2019,"1,821","2,647","1,263","18,587","1,342"
Acquisitions,8,13,6,93,34
Adjustments,1,,,565,
Disposals,5,,,220,5
Number of Assets -9/30/2020,"1,825","2,660","1,269","19,025","1,371"
Acquisitions,8,25,12,176,9
Adjustments,,,,865,
Disposals,,,,334,2
Number of Assets -9/30/2021,"1,833","2,685","1,281","19,732","1,378"
