,2021,2021,2021,2020,2020,2020,2020
,Consular and Border Security,All Other Funds from Dedicated,Total Funds from Dedicated,Consular and Border Security,All Other Funds from Dedicated,,Total Funds from Dedicated
Cumulative Results of Operations,Programs,Collections,Collections,Programs,,Collections,Collections
Beginning Balances,"$1,727",$ 390,"$ 2,117",$,"2,570 $",363,"$ 2,933"
Appropriations Used,381,1,381,190,,1,190
Donations and Forfeitures of Cash and Cash Equivalents,一,14,14,,一,62,62
Transfers In(Out) Without Reimbursement,177,40,217,,73,42,115
Imputed Financing,54,1,,54,52,1,53
Net Cost of Operations,(935),(156),"(1,091)",,"(1,158)",（78),"(1,236)"
Net Change in Cumulative Results of Operations,(323),(102),(425),,(843),27,(816)
Total Cumulative Results of Operations: Ending,"1,404",288,"1,692",,"1,727",390,"2,117"
Net Position,"$ 1,406",$ 288,$,"1,694 $","1,810",$ 390,"$ 2,200"
