"At September 30, 2021",Cost,Interest Receivable,Investments (Net),Market Value,Maturity Dates,Interest Rates Range
"Non-Marketable, Par Value:",,,,,,
Special Issue Securities,"$ 20,347",$ 113,"$ 20,460","$ 20,347",2022 - 2028,0.750% - 5.000%
"Non-Marketable, Market Based:",,,,,,
Israeli Arab Scholarship Fund,5,5,5,5,2021 - 2024,2.000% - 2.625%
Eisenhower Exchange Fellowship Fund,4,4,4,4,2021,1.625%
Middle Eastern-Western Dialogue Fund,11,11,11,11,2021 - 2025,0.250% - 2.875%
"Gift Funds, Treasury Bills",26,,26,27,2021 - 2027,1.625% - 2.750%
International Center,12,12,12,12,2021,0%
Foreign Service National Defined Contribution Fund - Variable Contribution Plan,44,,44,43,2023 - 2043,0.50% - 2.875%
Subtotal,102,,102,102,,
Total Intragovernmental Investments,"$ 20,449",$ 113,"$ 20,562","$ 20,449",,
"At September 30, 2020",Cost,Interest Receivable,Investments (Net),Market Value,Maturity Dates,Interest Rates Range
"Non-Marketable, Par Value:",,,,,,
Special Issue Securities,"$ 19,981",$ 120,"$ 20,101","$ 19,981",2021 - 2028,0.750% - 5.125%
"Non-Marketable, Market Based:",,,,,,
Israeli Arab Scholarship Fund,5,5,5,5,2021 - 2024,2.000% - 2.625%
Eisenhower Exchange Fellowship Fund,7,7,7,7,2020 - 2021,0.125% - 2.500%
Middle Eastern-Western Dialogue Fund,11,11,11,12,2020 - 2024,1.750% - 2.875%
"Gift Funds, Treasury Bills",23,,23,24,2020 - 2027,1.625% - 2.750%
International Center,12,12,12,12,2020,0.000%
Foreign Service National Defined Contribution Fund - Variable Contribution Plan,32,,32,33,2020 - 2043,0.500% - 2.875%
Subtotal,90,,90,93,,
Total Intragovernmental Investments,"$ 20,071",$ 120,"$ 20,191","$ 20,074",,
