STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,STATE-USAID JOINT STRATEGIC GOAL FRAMEWORK Goal 1: Protect America's Security at Home and Abroad,,,,,
1.1: Counter the,1.1: Counter the,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,"1.2: Defeat ISIS, al-Qa'ida","1.2: Defeat ISIS, al-Qa'ida","1.3: Counter instability,","1.3: Counter instability,",1.4: Increase capacity and,1.4: Increase capacity and,1.5: StrengthenU.S. border security,,,,,
,,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,and other Transnational,and other Transnational,"transnational crime, and","transnational crime, and","transnational crime, and",strengthen resilience of our,strengthen resilience of our,,,,,
,,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,"terrorist organizations,and","terrorist organizations,and",violence that threaten U.S.,violence that threaten U.S.,violence that threaten U.S.,partners and alles to deter,partners and alles to deter,and protect U.S.,,,,
,,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,"counter state-sponsored,","counter state-sponsored,",interests by strengthening,interests by strengthening,interests by strengthening,"aggression, coercion,and","aggression, coercion,and",citizens abroad,,,,
,,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,"regional,and localst","regional,and localst",citizen-responsive,citizen-responsive,citizen-responsive,malign influence by state,malign influence by state,citizens abroad,,,,
,,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,groups that threaten U.S.,groups that threaten U.S.,"governance, security,","governance, security,","governance, security,",and non-state actors,and non-state actors,citizens abroad,,,,
,,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,national security interests,national security interests,"democracy, human rights, and rule of law","democracy, human rights, and rule of law","democracy, human rights, and rule of law",and non-state actors,and non-state actors,citizens abroad,,,,
,,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,national security interests,national security interests,"democracy, human rights, and rule of law","democracy, human rights, and rule of law","democracy, human rights, and rule of law",and non-state actors,and non-state actors,citizens abroad,and rule of law,and rule of law,,
,,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,1.1: Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems,national security interests,national security interests,,,,and non-state actors,and non-state actors,citizens abroad,,,,
