Appropriation/Program,(dollars in millions),2020 Unobligated Balances in 2021,Appropriations Bill (Public Law No. 116-260),2021,2021,2021,2021,2021,2021,ARP,Non-,Total NewBudgetAuthority2,Total NewBudgetAuthority2,2021 Grand Total,Request^2,Continuing Resolution,Total
Total State/USAID Diplomatic Engagement and Foreign Assistance (Gross Budget Authority),"$32,977.4","$45,056.2","$8,000.0","$5,150.0",,"$7,635.7","$76,641.9","$67,736.0","$2,068.0",,Appropriated Accounts,"$7,635.7","$76,641.9","$109,619.3","$69,804.0",,
1. Diplomatic Engagement,"14,775.9","11,997.8","3,547.4",,450.0,204.0,"7,635.7","23,834.9","38,610.8","26,536.9",276.9,"$7,635.7","$23,834.9","$38,610.8","$26,536.9",,"$26,813.8"
a. Administration of Foreign Affairs,"13,775.4","9,318.5","2,745.2",,450.0,204.0,"7,635.7","20,353.4","34,128.8","22,427.9",276.9,"$7,635.7","$20,353.4","$34,128.8","$22,427.9",,"$22,704.8"
i. State Programs,"4,225.1","7,130.5","1,866.0",,300.0,204.0,"7,635.7","17,136.2","21,361.3","19,476.0",,"$7,635.7","$17,136.2","$21,361.3","$19,476.0",,
ii. Sudan Claims Resolution,,,,,150.0,,,,,,,,,,,,
"iii. Embassy Security, Construction, & Maintenance","9,126.6","1,126.2",824.3,,,,,,,,,,,,,,
iv. Other Administration of Foreign Affairs,423.7,"1,061.8",54.9,,,,,,,,,,,,,,
1. Buying Power Maintenance,12.4,,,,,,,,,,,,,,,,
2. Office of Inspector General,6.1,90.8,54.9,,,,,,,,,,,,,,
3. Educational and Cultural Exchange Programs,116.0,740.3,,,,,,,,,,,,,,,
4. Representation Expenses,,7.4,,,,,,,,,,,,,,,
5. Protection of Foreign Missions and Officials,14.6,30.9,,,,,,,,,,,,,,,
6. Emergencies in the Diplomatic and Consular Service,274.6,157.9,,,,,,,,,,,,,,,
7. Repatriation Loans Program Account,,2.5,,,,,,,,,,,,,,,
8. Payment to the American Institute in Taiwan,,32.0,,,,,,,,,,,,,,,
b. International Organizations,841.9,"2,159.9",802.2,,,,,,,,,,,,,,
c. International Cooperative Administrative Support Services^2,829.5,,,,,,,,,,,,,,,,
d. Consular Border Security Programs Fee Revenue^2,781.3,,,,,,,,,,,,,,,,
