Budgetary Resources,Diplomatic Programs,Consular and Border Security Programs,Global Health Programs,Migration and Refugee Assistance,Education and Cultural Exchange,International Programs and Operations,Total
Unobligated Balance Brought Forward,October 1,$ 37,$ 76,$ 99,$ —,$ —,"$ —,$ 212"
Recoveries of Prior Year,Unpaid Obligations,1,2,—,—,—,"—,3"
Appropriations,204,300,"4,000",500,—,580,"5,584"
Transfers, Net,—,—,—,—,—,"—,—"
Total Budgetary Resources,$ 242,$ 378,"$ 4,099",$ 500,$ —,$ 580,"$ 5,799"
Status of Budgetary Resources,New Obligations,$ 163,$ 376,"$ 4,085",$ 447,$ —,"$ —,$ 5,071"
Unobligated, Unexpired Accounts,79,2,14,53,—,"580,728"
Total Budgetary Resources,$ 242,$ 378,"$ 4,099",$ 500,$ —,$ 580,"$ 5,799"
Outlays, Net:,"Outlays, Net (Total)",$ 151,$ 381,"$ 4,227",$ 379,"$ 2,$ —,$ 5,140"
Agency Outlays, Net,$ 151,$ 381,"$ 4,227",$ 379,$ 2,"$ 2,$ —,$ 5,140"
Net Cost,Total Net Cost,$ 191,$ 379,"$ 4,202",$ 359,$ 2,"$ —,$ 5,133"
