Financial Statement Line,Dedicated Collections Combined,All Other Amounts (with Eliminations),Eliminations Between Dedicated and All Other,Total,Reclassified Financial Statement Line
Cost and Loss on Assumption Changes,"$ 45,813","$ 1,754","$ 38,870",$,"Non-Federal Costs,Non-Federal Gross Cost,Loss on Changes in Actuarial Assumptions (Non-Federal)"
,"1,898",,,"40,624","Total Non-Federal Costs,,"
,"1,754","40,768",,"42,522",",,"
,,"141,398",(44),495,"Intragovernmental Costs,Benefit Program Costs,"
,,"54,162",(20),196,",Imputed Costs,"
"1,215","1,821",(680),"2,356",,",Buy/Sell Costs,"
,"36,208",,244,,",Other Expenses (without Reciprocals),"
Total Costs and Loss on Assumption Changes,"$ 45,813","3,200","43,357",(744),"$ 45,813,Total Reclassified Gross Costs,"
Earned Revenue,"7,443","2,101","1,381",,"Non-Federal Earned Revenue,,"
,7,"4,093",(680),"3,482","Intragovernmental Earned Revenue,Buy/Sell Revenue,"
,"1,110",(44),"3,420",,",Benefit Program Revenue,"
,"1,474",,475,,"Federal Securities Interest Revenue,Including Associated Gains/Losses (Exchange),"
,8,"4,677",(724),"3,961","Total Intragovernmental Earned Revenue,,"
Total Earned Revenue,"$ 7,443","2,109","6,058",(724),"$ 7,443,Total Reclassified Earned Revenue,"
Net Cost,"$ 38,370","1,091","$ 37,299",$ (20),"$ 38,370,Net Cost,"
