COMBINED STATEMENT OF BUDGETARY RESOURCES (NOTE 15) (dollars in millions),COMBINED STATEMENT OF BUDGETARY RESOURCES (NOTE 15) (dollars in millions),COMBINED STATEMENT OF BUDGETARY RESOURCES (NOTE 15) (dollars in millions)
"For the Year Ended September 30,",2021,2020
Budgetary Resources:,,
"Unobligated Balance from Prior Year Budget Authority, Net","$ 29,890","$ 32,742"
Appropriations (Discretionary and Mandatory),"41,445","36,384"
Borrowing Authority (Discretionary and Mandatory),2,3
Spending Authority from Offsetting Collections (Discretionary and Mandatory),"8,750","7,974"
Total Budgetary Resources,"$ 80,087","$ 77,103"
Status of Budgetary Resources:,,
"New Obligations and Upward Adjustments (Total) Unobligated Balance, End of Year:","$ 50,656","$ 49,157"
"Apportioned, Unexpired Accounts","27,891",
"Exempt from Apportionment, Unexpired Accounts",148,"26,542"
"Unapportioned, Unexpired Accounts",367,49
"Unexpired Unobligated Balance, End of Year","28,406","152 26,743"
"Expired Unobligated Balance, End of Year","1,025",
"Unobligated Balance, End of Year (Total)","29,431","1,203 27,946"
Total Budgetary Resources,"$ 80,087","$ 77,103"
"Outlays, Net:",,
"Outlays, Net (Total) (Discretionary and Mandatory)",,
Distributed Offsetting Receipts (-),"40,239 (2,672)","37,680"
,,"(2,877)"
"Agency Outlays, Net (Discretionary and Mandatory)","$ 37,567","$ 34,803"
