DM&R,Deferred Maintenance and Repairs,GAAP,Generally Accepted Accounting Principles,Government Accountability Office
DOL,U.S. Department of Labor,GAO,Global Foreign Affairs Compensation System,Global Financial Management System
DOS,U.S. Department of State,GCJ,Office of Global Criminal Justice (DOS),Grants Officer Representative
DS,Bureau of Diplomatic Security (DOS),GFACS,Global Foreign Affairs Compensation System,Global Financial Management System
EDS,Enterprise Data Strategy,GFMS,Global Foreign Affairs Compensation System,Global Financial Management System
EFT,Electronic Funds Transfer,GOR,Grants Officer Representative,Grants Officer Representative
EGB,Enterprise Governance Board,GPRA,Government Performance and Results Act,Grants Officer Representative
EGC,Office of Global Change (DOS),GSA,U.S. General Services Administration,Grants Officer Representative
ERM,Enterprise Risk Management,GTAS,Government-wide Treasury Account Symbol Adjusted Trial Balance System,Grants Officer Representative
ESF,Economic Support Fund,GTM,Bureau of Global Talent Management (DOS),Grants Officer Representative
ESP,Evaluations and Special Projects (DOS),HCM,Human Capital Management,Grants Officer Representative
ETS2,E-Government Travel Services,HHS,U.S. Department of Health and Human Services,Grants Officer Representative
EWC,East-West Center,HIV,Human Immunodeficiency Virus,Grants Officer Representative
FADR,Foreign Assistance Data Review,HR,Human Resources,Grants Officer Representative
FAM,Foreign Affairs Manual,HVA,High Value Asset,Grants Officer Representative
FAR,Federal Acquisition Regulation,IAA,Interagency Agreement,Grants Officer Representative
FARADS,Foreign Affairs Retirement and Disability System (DOS),IAS,International Accounting Standards,Grants Officer Representative
FASAB,Federal Accounting Standards Advisory Board,IBIS,Integrated Budget Intelligence System,Grants Officer Representative
FCI,Facility Condition Index,IBWC,International Boundary and Water Commission,Grants Officer Representative
FECA,Federal Employees Compensation Act,ICAO,International Civil Aviation Organization (UN),Grants Officer Representative
FEGLIP,Federal Employees Group Life Insurance Program,ICASS,International Cooperative Administrative Support Services (DOS),Grants Officer Representative
FEHBP,Federal Employees Health Benefits Program,INL,Bureau of International Narcotics and Law Enforcement (DOS),Grants Officer Representative
FERS,Federal Employees Retirement System,IO,Bureau of International Organization Affairs (DOS),Grants Officer Representative
FFMIA,Federal Financial Management Improvement Act of 1996,IO&P,International Organizations and Programs,Grants Officer Representative
FISMA,Federal Information Security Modernization Act of 2014,IPIA,Improper Payments Information Act of 2002,Grants Officer Representative
FMF,Foreign Military Financing,IPP,Invoice Processing Platform,Grants Officer Representative
FMFIA,Federal Managers' Financial Integrity Act of 1982,IRM,Bureau of Information Resource Management (DOS),Grants Officer Representative
FMLP,Future Minimum Lease Payments,ISIS,Islamic State in Iraq and Syria,Grants Officer Representative
FR,Federal Register,ISO,International Organization for Standardization,Grants Officer Representative
FR,Financial Report of the U.S. Government,ISP,Inspection (DOS),Grants Officer Representative
FS,Foreign Service,ISSO,Information Systems Security Officer,Grants Officer Representative
FSI,Foreign Service Institute (DOS),IT,Information Technology,Grants Officer Representative
FSN,Foreign Service National,ITP,Information Technology,Grants Officer Representative
FSN DCF,Foreign Service National Defined Contributions Fund,JSP,Joint Strategic Plan,Grants Officer Representative
FSO,Foreign Service Officer,LE Staff,Locally Employed Staff,Grants Officer Representative
FSRDF,Foreign Service Retirement and Disability Fund,LSSS,Local Social Security System,Grants Officer Representative
FSRDS,Foreign Service Retirement and Disability System,M,Under Secretary for Management (DOS),Grants Officer Representative
FSPS,Foreign Service Pension System,MAR,Management Assistance Report,Grants Officer Representative
FWCB,Federal Workers' Compensation Benefits,MCSC,Management Control Steering Committee (DOS),Grants Officer Representative
FY,Fiscal Year,MRA,Migration and Refugee Assistance,Grants Officer Representative
G7,Group of Seven,NATO,North Atlantic Treaty Organization,Grants Officer Representative
