"For the Year Ended September 30,",2021,2020
"Pension Actuarial Liability, Beginning of Year","$ 25,014","$ 23,401"
Pension Expense:,,","
Normal Cost,637,574
Interest on Pension Liability,770,772
Actuarial (Gains) or Losses:,,","
From Experience,143,316
From Assumption Changes:,,","
Interest Rate,908,803
Experience Study,—,—
Other,933,156
Prior Year Service Costs,—,—
Other,—,—
Total Pension Expense,3391,2621
Less Payments to Beneficiaries,1023,1008
"Pension Actuarial Liability, End of Year",27382,25014
Less: Net Assets Available for Benefits,20398,20037
Actuarial Pension Liability – Unfunded,"$ 6,984","$ 4,977"
