Consular and Border Security Programs,All Other Funds from Dedicated Collections,Total Funds from Dedicated Collections,Consular and Border Security Programs,All Other Funds from Dedicated Collections,Total Funds from Dedicated Collections
Beginning Balances,"$ 1,727",$ 390,"$ 2,117","$ 2,570","$ 363,$ 2,933"
Appropriations Used,381,—,381,190,"—,190"
Donations and Forfeitures of Cash and Cash Equivalents,—,14,14,—,"62,62"
Transfers In(Out) Without Reimbursement,177,40,217,73,"42,115"
Imputed Financing,54,—,54,52,"1,53"
Net Cost of Operations,(935),(156),"(1,091)","(1,158)","(78),(1,236)"
Net Change in Cumulative Results of Operations,(323),(102),(425),(843),"27,(816)"
Total Cumulative Results of Operations: Ending,"1,404",288,"1,692","1,727","390,2,117"
Net Position,"$ 1,406",$ 288,"$ 1,694","$ 1,810","$ 390,$ 2,200"
