,2021 Consular All Other,2021 Consular All Other,2021 Consular All Other,2020 Consular All Other,2020 Consular All Other,2020 Consular All Other,2020 Consular All Other,2020 Consular All Other
,Security Programs,Dedicated,Collections Collections,and Border Funds from Funds from Dedicated,and Border Security Programs,Funds from Dedicated Collections,,Total Funds from Dedicated Collections
Balance Sheet as of September 30,,,,,,,,
ASSETS Intragovernmental:,,,,,,,,
Fund Balance with Treasury,"$1,625",$,148,"$1,773","2,003",$,239,"2,242"
Investments,,,46,46,,一,46,46
Advances and Prepayments,12,,一,12,,93,1,94
Total Intragovernmental,"1,637",,194,"1,831","2,096",,286,"2,382"
With the Public:,,,,,,,,
"Accounts Receivable, Net",,,,1,,1,,1
"General Property and Equipment, Net",38,,107,145,,9,107,116
Advances and Prepayments,11,,(1),,,,,7
Total With the Public,50,,106,10,,8,(1),
Total Assets,"$1,687",$,300,156,,18,106,124
LIABILITIES,,,,"$1,987","$2,114",$,392,"2,506"
Intragovernmental:,,,,,,,,
Accounts Payable,$ 10,$,10,$ 20,$,49 $,,49
Advances from Others and Deferred Revenue,15,,,15,,8,,8
Other,24,,,24,,18,,18
Total Intragovernmental,49,,10,59,,75,,75
With the Public:,,,,,,,,
Accounts Payable,,,,,,,,
Other Accounts Payable,133,,2,135,,128,1,128
Federal Employee and Veteran Benefits Payable Other Liabilities,71,,,71,,74,2,76
Other,28,,,28,,27,,27
Total With the Public,232,,2,234,,229,2,231
Total Liabilities NET POSITION,281,,12,293,,304,2,306
Unexpended Appropriations,2,,,,,,,83
Cumulative Results of Operations,"1,404",,288,2,,83,,"2,117"
Total Net Position,,,,"1,692",,"1,727",390,
Total Liabilitiesand Net Position,"1,406",,288,"1,694","1,810",,390,"2,200"
Statement of Net Cost for the Year Ended September 30,"$1,687",$,300,"$1,987","$2,114",$,392,"2,506"
Gross Program Costs,"$ 3,043",,157,$,,"3,169",,"3,248"
Less: Earned Revenues,"2,108",$,1,"3,200 2,109",$,"$ 2,011",79,"2,012"
Net Program Costs,935,,156,"1,091","1,158",,1 78,"1,236"
Net Cost of Operations,$,$,,156$1091,$1158,$,78$,"1,236"
Statement of Changes in Net Position for the Year Ended September 30,,,,,,,,
Unexpended Appropriations,,,,,,,,
Beginning Balances,$,83 $,,$ 83,$,$ 一,,
Appropriations Received,,300,,300,,一,,
Appropriations Transferred In(Out),,,,,,273,,273
Appropriations Used,,(381),,(381),,(190),,(190)
,,,,(81),,,,83
Net Change in Unexpended Appropriations Total Unexpended Appropriations: Ending,,,,2,,83 83,,
