Jurisdiction,Enacted Laws,Proposed Laws
EuropeanUnion (EU),"Regulation (EU) 2021/1119(European Climate Law), art. 2, 2021O.J. (L 243) 1,https:/ / perma.cc/2GM3-9W99(climate neutrality by 2050)",
Austria,EU legislation applies,
Belgium,EU legislation applies,
Bulgaria,EU legislation applies,
Canada,"Canadian Net-Zero EmissionsAccountability Act, S.C. 2021, c. 22,(Royal Assent June 29, 2021),https:/ / perma.cc/MD3F-LL9E (netzero by 2050)",
Chile,,"Climate Change Framework Law, SIV.2.a, https:/ / perma.cc/G2VN-MLNG (net zero by 2050)(submitted to National CongressJan. 10, 2020, https:/ /www.gob.cl/en/news/government-unveils-climate-change-bill-designed-decrease-negative-impacts-climate-change-chile/)"
Croatia,EU legislation applies,
Cyprus,EU legislation applies,
Czechia,EU legislation applies,
Denmark,"Climate Act (No. 965 of June 26, 2020) art. 1, https://perma.cc/RP3S-J7EF (English translation),https:/ /perma.cc/54HQ-TXDU(Danish original) (climate neutralityby 2050)",
Estonia,EU legislation applies,
Fiji,,"Climate Change Bill 2021 cls 6(5) & 38(1), https:/ /perma.cc/B5SY-MDR2 (net zero by 2050)(introduced Aug.19, 2021, with goal to enact before COP26,https:/ / perma.cc/SBU7-4W2A)"
Finland,"EU legislation appliesSee also Klimatlag (FFS 609/2015), S6, https:/ /perma.cc/B7CL-J7B6",
France,"Code de 'énergie, art. L100-4,https:/ / perma.cc/MBZ8-28GM, as amended by Loi n° 2019-1147 du 8novembre 2019 relative a l'énergie etau climat, art. 1, Nov. 8, 2019,https:/ /perma.cc/VF4A-LGYZ (netzero by 2050)",
Germany,"Bundes-Klimaschutzgesetz [KSG],Dec.12, 2019, Bundesgesetzblatt[BGBl.] I at 2513,as amended, art. 3,para. 2, https://perma.cc/2RH2-V367 (climate neutrality by 2045)",
Greece,EU legislation applies,
Hungary,"Law on Climate Policy: On the Declaration of a Climate Emergency,on Climate Protection, (T/7021),adopted on May 14, 2020, art. 3, $ 4,https:/ / perma.cc/683R-7U5M(climate neutrality by 2050)",
Iceland,"Climate Act (Log um loftslagsmal,2012 nr. 70 29. Juni,https:/ /perma.cc/D4YF-9TF6(legally binding emissionsreductions for 2030; specifies that the government can issue further legally binding targets. Current policy iscarbon neutrality by 2040,https:/ /perma.cc/3ZK3-Y6G8.)Not an EU member state but has a2019 Climate Agreement with theEuropean Union,https:/ / perma.cc/RJW5-ADLZ",
Ireland,"Climate Action and Low CarbonDevelopment Act 2015, No.46/2015,s 3(1), https:/ /perma.cc/6Y4S- 7KYN,as amended by the ClimateAction and Low CarbonDevelopment (Amendment) Act2021, No.32/2021,https:/ /perma.cc/KTM6-FVNS(climate neutrality by 2050)",
Italy,EU legislation applies,
Japan,"Amendment (Act No. 54 of 2021) ofAct on Promotion of GlobalWarming Countermeasures, Act No.117 of 1998, art. 2-2, https:/ / perma.cc/7NLD-WPC8 (inJapanese) (net zero by 2050)",
Latvia,EU legislation applies,
Liechtenstein,"Emissionshandelsgesetz [EHG],Sept.19,2012, Landesgesetzblatt-Nummer [LGBl.-Nr.] 2012.346,asamended, art. 4, para. 4,https:/ /perma.cc/LZL3-HW64(climate neutrality by 2050)Note: The climate neutrality goalmight get codified in the CO2 Act instead when an amended version ofthe CO2 Act is passed",
Lithuania,EU legislation applies,
Luxembourg,"Loi du 15 decembre 2020 relative auclimat et modifiant la loi modifiée du31 mai 1999 portant institution d'un fonds pour la protection deIenvironnement, art. 4, Dec. 15,2020, https://perma.cc/MWH3-9TFJ(net zero by 2050)",
Maldives,"Climate Emergency Act, Law No.9/2021,https:/www.gazette.gov.mv/ (netzero by 2030) (Press Release,President's Office, President RatifiesClimate Emergency Act (May 18,2021), https:/ /perma.cc/W8WD-9WNJ)",
Malta,"EU legislation appliesSee also Climate Action Act, cap. 543, https:/ /perma.cc/QWQ4-Y4GH",
Netherlands,EU legislation applies,
New Zealand,"Climate Change Response Act 2002 s5Q, https:/ / perma.cc/8PT9-EXVP, inserted by Climate ChangeResponse (Zero Carbon)Amendment Act 2019 s 8,https:/ /perma.cc/F7JU-XCJV (netzero by 2050; except biogenicmethane)",
Norway,"Lov om klimamal (klimaloven)(LOV-2017-06-16-60) S 4,https:/ /perma.cc/47QH-6R3B(reduce emissions by 90-95%compared to 1990 by 2050)Not an EU member state but has a 2019 Climate Agreement with theEuropean Union,https:/ / perma.cc/RJW5-ADLZ",
Poland,EU legislation applies,
Portugal,EU legislation applies,
Romania,EU legislation applies,
Slovakia,EU legislation applies,
Slovenia,"EU legislation appliesSee also Resolution on Slovenia'sLong-Term Climate Strategy Until2050, No.801-08/21-5/,adopted byNational Assembly on July 13, 2021,art. 3.2.2, https:/ /perma.cc/2RL8-UG39",
South Korea,"Framework Act on Carbon Neutraland Green Growth to Respond toClimate Crisis, Act No. 18469, Sept.24, 2021, art. 7(1),https:/ / perma.cc/ ZQ4A-9CP5 (inKorean) (carbon neutrality by 2050)",
Spain,"Ley 7/2021, de 20 de mayo, decambio climatico y transicionenergética, art. 3-2, Boletin Oficialdel Estado,May 21,2021,https:/ / perma.cc/53XX-LSPE(climate neutrality by 2050)",
Sweden,"Klimatlag (SFS 2017:720), S 3,https:/ /perma.cc/V5HA-A333(unofficial English translation),https:/ / perma.cc/R4C5-WJPW(original Swedish version) (does notset specific timelines for emissionsreductions, but government mustreview and set targets every fouryears. Official policy as of March2021 is net zero emissions by 2045(85 % reduction compared to 1990),https:/ / perma.cc/NS4A-ZVGB)",
Taiwan,,The premier recently tasked theEnvironmental ProtectionAdministration with amending theGreenhouse Gas Reduction andManagement Act to incorporate the
,,"goal of net-zero carbon emissionsby 2050,and rename the act theClimate Change Response Act.(Taiwan Working Toward Net-ZeroEmissions by 2050, OverseasCommunity Aff. Council, Republicof China (Taiwan) (OCAC) (Sept. 2,2021), https:/ /perma.cc/F8FW-YQUK)Individual members of theLegislative Yuan proposed theirown bills for amending the act toinclude the 2050 net-zero emissions goal. (See e.g., Yuan Zong No. 1711,Member Proposal No. 25885 (Feb.26,2021), https:/ /perma.cc/66FW- XLRU (in Chinese); Yuan Zong No.1711, Member Proposal No. 26787(May 27, 2021), https:/ / perma.cc/U7RM-G2L9 (inChinese))"
