Fair Value,,100 bp decrease,,100 bp increase,200 bp increase,300 bp increase
"December 31, 2021",,,,,,
Assets:,,,,,,
Investments in fixed maturity securities,$,"16,434",$,"16,624",$,"16,231"
,,,$,"16,036",$,"15,847"
Investments in equity securities*,"10,864",,"11,457",,"10,313","9,798"
,,,,,"9,319",
Loans and finance receivables,"22,174",,"22,982",,"21,417","20,714"
,,,,,"20,054",
Liabilities:,,,,,,
Notes payable and other borrowings:,,,,,,
Insurance and other,"42,339",,"46,559",,"38,724","35,683"
,,,,,"33,104",
"Railroad, utilities and energy","87,065",,"97,474",,"78,472","71,289"
,,,,,"65,246",
Equity index put option contracts,"99,105",,"94,89",,84,
"December 31, 2020",,,,,,
Assets:,,,,,,
Investments in fixed maturity securities,$,"20,410",$,"20,622",$,"20,139"
,,,$,"19,879",$,"19,628"
Investments in equity securities*,"8,891",,"9,408",,"8,413","7,970"
,,,,,"7,559",
Loans and finance receivables,"20,554",,"21,472",,"19,916","19,219"
,,,,,"18,570",
Liabilities:,,,,,,
Notes payable and other borrowings:,,,,,,
Insurance and other,"46,676",,"50,754",,"42,785","39,514"
,,,,,"36,739",
"Railroad, utilities and energy","92,593",,"102,926",,"83,070","75,484"
,,,,,"69,093",
Equity index put option contracts,"1,065",,"1,125",,"1,008",953
